Time	A	B	BVth	AVth	
0.4152	0.850172	0.8731314	0.08414429	0.09000725	
0.4176	0.8481686	0.8713065	0.08461222	0.09045735	
0.42	0.8441325	0.8676136	0.08554382	0.09135299	
0.4224	0.8421004	0.8657467	0.08600747	0.09179854	
0.4248	0.8400594	0.8638664	0.08646968	0.09224255	
0.4272	0.8380097	0.8619731	0.08693045	0.09268504	
0.4296	0.8359515	0.8600672	0.08738976	0.09312599	
0.432	0.8318111	0.856219	0.08830399	0.09400328	
0.4344	0.8297292	0.8542774	0.0887589	0.09443961	
0.4368	0.8276402	0.8523244	0.08921233	0.09487439	
0.4392	0.8255442	0.8503605	0.08966427	0.09530762	
0.4416	0.8234412	0.8483859	0.09011473	0.0957393	
0.444	0.8192159	0.844406	0.09101114	0.09659797	
0.4464	0.817094	0.8424012	0.0914571	0.09702496	
0.4488	0.8149663	0.8403871	0.09190154	0.09745039	
0.4512	0.8128329	0.8383637	0.09234447	0.09787425	
0.4536	0.8106942	0.8363315	0.09278588	0.09829655	
0.456	0.8064016	0.8322417	0.09366413	0.09913641	
0.4584	0.8042485	0.8301846	0.09410097	0.09955398	
0.4608	0.8020905	0.8281196	0.09453627	0.09996998	
0.4632	0.7999285	0.8260472	0.09497003	0.1003844	
0.4656	0.7977625	0.8239675	0.09540224	0.1007972	
0.468	0.7934194	0.8197875	0.09626204	0.1016181	
0.4704	0.7912425	0.8176876	0.09668962	0.1020262	
0.4728	0.7890625	0.8155816	0.09711564	0.1024327	
0.4752	0.7868794	0.8134695	0.0975401	0.1028376	
0.4776	0.7846934	0.8113518	0.09796301	0.103241	
0.48	0.7803141	0.8070999	0.09880415	0.1040429	
0.4824	0.7781209	0.8049662	0.09922238	0.1044415	
0.4848	0.7759255	0.8028277	0.09963904	0.1048384	
0.4872	0.7737285	0.8006847	0.1000541	0.1052338	
0.4896	0.7715297	0.7985371	0.1004676	0.1056276	
0.492	0.7671276	0.7942299	0.10129	0.1064105	
0.4944	0.7649249	0.7920705	0.1016988	0.1067996	
0.4968	0.7627212	0.7899078	0.102106	0.107187	
0.4992	0.7605163	0.7877415	0.1025117	0.1075729	
0.5016	0.7583109	0.7855722	0.1029157	0.1079572	
0.504	0.7538986	0.7812247	0.1037192	0.108721	
0.5064	0.7516921	0.7790473	0.1041185	0.1091006	
0.5088	0.7494854	0.7768673	0.1045163	0.1094785	
0.5112	0.7472789	0.774685	0.1049125	0.1098549	
0.5136	0.7450725	0.7725009	0.1053071	0.1102297	
0.516	0.7406611	0.7681272	0.1060915	0.1109746	
0.5184	0.7384562	0.7659382	0.1064814	0.1113447	
0.5208	0.7362522	0.7637477	0.1068697	0.1117132	
0.5232	0.7340491	0.761556	0.1072564	0.1120801	
0.5256	0.731847	0.7593634	0.1076416	0.1124455	
0.528	0.7274464	0.7549759	0.1084071	0.1131715	
0.5304	0.7252482	0.7527813	0.1087875	0.1135321	
0.5328	0.7230515	0.7505863	0.1091664	0.1138912	
0.5352	0.7208565	0.7483912	0.1095436	0.1142488	
0.5376	0.7186633	0.746196	0.1099193	0.1146048	
0.54	0.7142825	0.7418063	0.110666	0.1153121	
0.5424	0.7120953	0.7396119	0.1110369	0.1156634	
0.5448	0.7099102	0.7374179	0.1114064	0.1160131	
0.5472	0.7077276	0.7352247	0.1117742	0.1163614	
0.5496	0.7055473	0.7330322	0.1121405	0.116708	
0.552	0.7011946	0.7286503	0.1128683	0.1173968	
0.5544	0.6990225	0.7264609	0.1132299	0.1177388	
0.5568	0.696853	0.724273	0.11359	0.1180794	
0.5592	0.6946867	0.7220864	0.1139485	0.1184184	
0.5616	0.6925234	0.7199014	0.1143054	0.1187558	
0.564	0.6882061	0.7155366	0.1150146	0.1194262	
0.5664	0.6860523	0.7133571	0.1153669	0.1197591	
0.5688	0.6839021	0.7111795	0.1157176	0.1200905	
0.5712	0.6817553	0.7090042	0.1160668	0.1204203	
0.5736	0.679612	0.706831	0.1164144	0.1207487	
0.576	0.6753368	0.7024918	0.1171051	0.1214009	
0.5784	0.6732049	0.7003258	0.1174482	0.1217248	
0.5808	0.6710769	0.6981628	0.1177897	0.1220471	
0.5832	0.6689527	0.6960024	0.1181297	0.122368	
0.5856	0.6668327	0.6938448	0.1184681	0.1226873	
0.588	0.662605	0.6895386	0.1191405	0.1233216	
0.5904	0.6604975	0.6873901	0.1194744	0.1236366	
0.5928	0.6583945	0.685245	0.1198067	0.12395	
0.5952	0.6562959	0.6831033	0.1201376	0.124262	
0.5976	0.6542017	0.6809648	0.120467	0.1245725	
0.6	0.650027	0.6766984	0.1211212	0.1251891	
0.6024	0.6479466	0.6745707	0.1214461	0.1254952	
0.6048	0.6458708	0.6724467	0.1217694	0.1257999	
0.6072	0.6437999	0.6703268	0.1220913	0.1261031	
0.6096	0.6417339	0.6682105	0.1224117	0.1264049	
0.612	0.6376164	0.6639901	0.123048	0.1270041	
0.6144	0.6355654	0.6618861	0.1233639	0.1273016	
0.6168	0.6335192	0.659786	0.1236784	0.1275976	
0.6192	0.6314781	0.6576904	0.1239914	0.1278922	
0.6216	0.6294423	0.6555992	0.1243029	0.1281854	
0.624	0.6253861	0.6514298	0.1249216	0.1287675	
0.6264	0.6233659	0.6493518	0.1252287	0.1290565	
0.6288	0.6213512	0.6472787	0.1255344	0.129344	
0.6312	0.6193421	0.64521	0.1258387	0.1296302	
