Time	Top_MN	Bottom_FF	Top_A	Bottom_A	Top_Tension	Bottom_Tension	Top_Length	
0.026	0.09793449	0	0.09793449	0	0.02640083	0	0.0500423	
0.0264	0.09793449	0	0.09793449	0	0.02667074	0	0.0500426	
0.0268	0.09793449	0	0.09793449	0	0.02694005	0	0.0500429	
0.0272	0.09793449	0	0.09793449	0	0.02720689	0	0.05004319	
0.0276	0.1044558	0	0.09793449	0	0.02746569	0	0.05004347	
0.028	0.1044558	0	0.1044558	0	0.02772391	0	0.05004375	
0.0284	0.1044558	0	0.1044558	0	0.02799135	0	0.05004403	
0.0288	0.1044558	0	0.1044558	0	0.02825446	0	0.05004429	
0.0292	0.1044558	0	0.1044558	0	0.02850952	0	0.05004455	
0.0296	0.1108467	0	0.1044558	0	0.0287696	0	0.05004481	
0.03	0.1108467	0	0.1108467	0	0.02901792	0	0.05004505	
0.0304	0.1108467	0	0.1108467	0	0.02928342	0	0.05004531	
0.0308	0.1108467	0	0.1108467	0	0.02953713	0	0.05004554	
0.0312	0.1108467	0	0.1108467	0	0.02979027	0	0.05004577	
0.0316	0.1171098	0	0.1108467	0	0.0300447	0	0.050046	
0.032	0.1171098	0	0.1171098	0	0.0302911	0	0.05004622	
0.0324	0.1171098	0	0.1171098	0	0.03054959	0	0.05004644	
0.0328	0.1171098	0	0.1171098	0	0.03080189	0	0.05004665	
0.0332	0.1171098	0	0.1171098	0	0.03105735	0	0.05004687	
0.0336	0.1232476	0	0.1171098	0	0.0313085	0	0.05004708	
0.034	0.1232476	0	0.1232476	0	0.03154975	0	0.05004727	
0.0344	0.1232476	0	0.1232476	0	0.03180734	0	0.05004746	
0.0348	0.1232476	0	0.1232476	0	0.03206433	0	0.05004766	
