Time	Rotation	
0.8892	-1.927259E-11	
0.8896	-1.927259E-11	
0.89	-1.927259E-11	
0.8904	-1.927279E-11	
0.8908	-1.927259E-11	
0.8912	-1.927259E-11	
0.8916	-1.927259E-11	
0.892	-1.927279E-11	
0.8924	-1.927299E-11	
0.8928	-1.927319E-11	
0.8932	-1.927319E-11	
0.8936	-1.927319E-11	
0.894	-1.927299E-11	
0.8944	-1.927299E-11	
0.8947999	-1.927319E-11	
0.8952	-1.927319E-11	
0.8956	-1.927319E-11	
0.896	-1.927299E-11	
0.8964	-1.927299E-11	
0.8968	-1.927279E-11	
0.8972	-1.927299E-11	
0.8976	-1.927299E-11	
0.898	-1.927299E-11	
0.8983999	-1.927299E-11	
0.8988	-1.927299E-11	
0.8992	-1.927319E-11	
0.8996	-1.927319E-11	
0.9	-1.927319E-11	
0.9004	-1.927319E-11	
0.9008	-1.927319E-11	
0.9012	-1.927319E-11	
0.9016	-1.927319E-11	
0.902	-1.927319E-11	
0.9024	-1.927339E-11	
0.9028	-1.927339E-11	
0.9032	-1.927319E-11	
0.9036	-1.927339E-11	
0.904	-1.927359E-11	
0.9044	-1.927359E-11	
0.9048	-1.927359E-11	
0.9052	-1.927359E-11	
0.9056	-1.92738E-11	
0.906	-1.927359E-11	
0.9064	-1.927339E-11	
0.9068	-1.927359E-11	
0.9072	-1.927359E-11	
0.9076	-1.927359E-11	
0.908	-1.927359E-11	
0.9084	-1.927359E-11	
0.9088	-1.927359E-11	
0.9092	-1.927339E-11	
0.9096	-1.927339E-11	
0.91	-1.92736E-11	
0.9104	-1.92736E-11	
0.9108	-1.92738E-11	
0.9112	-1.9274E-11	
0.9116	-1.9274E-11	
0.912	-1.92742E-11	
0.9123999	-1.92742E-11	
0.9128	-1.92742E-11	
0.9132	-1.927441E-11	
0.9136	-1.927441E-11	
0.914	-1.927441E-11	
0.9144	-1.927441E-11	
0.9148	-1.927441E-11	
0.9152	-1.927441E-11	
0.9156	-1.927441E-11	
0.9159999	-1.927461E-11	
0.9164	-1.927461E-11	
0.9168	-1.927461E-11	
0.9172	-1.927441E-11	
0.9176	-1.927441E-11	
0.918	-1.927441E-11	
0.9184	-1.927441E-11	
0.9188	-1.927441E-11	
0.9192	-1.927441E-11	
0.9196	-1.927461E-11	
0.92	-1.927481E-11	
0.9204	-1.927461E-11	
0.9208	-1.927441E-11	
0.9212	-1.927441E-11	
0.9216	-1.927461E-11	
0.922	-1.927461E-11	
0.9224	-1.927461E-11	
0.9228	-1.927461E-11	
0.9232	-1.927461E-11	
0.9236	-1.927441E-11	
0.924	-1.927461E-11	
0.9244	-1.927461E-11	
0.9248	-1.927481E-11	
0.9252	-1.927481E-11	
0.9256	-1.927481E-11	
0.926	-1.927481E-11	
0.9264	-1.927502E-11	
0.9268	-1.927522E-11	
