Time	Vm	
0.08679999	-0.07288198	
0.087	-0.0729395	
0.0872	-0.07341592	
0.0874	-0.07196655	
0.0876	-0.07341529	
0.0878	-0.07311954	
0.088	-0.07414144	
0.0882	-0.07372399	
0.0884	-0.0748319	
0.08859999	-0.07596686	
0.0888	-0.07747223	
0.08899999	-0.07829934	
0.0892	-0.07661699	
0.0894	-0.0787733	
0.0896	-0.07965225	
0.0898	-0.0796616	
0.09	-0.08114507	
0.0902	-0.08297308	
0.0904	-0.08163849	
0.0906	-0.08338626	
0.09079999	-0.08329742	
0.091	-0.08368112	
0.09119999	-0.0823058	
0.0914	-0.08210795	
0.0916	-0.08083414	
0.0918	-0.08206641	
0.092	-0.08256644	
0.0922	-0.08306716	
0.0924	-0.08404874	
0.0926	-0.08375081	
0.0928	-0.08460152	
0.09299999	-0.08416366	
0.0932	-0.08550845	
0.09339999	-0.08387928	
0.0936	-0.08564937	
0.0938	-0.08403253	
0.094	-0.0858117	
0.0942	-0.08472349	
0.0944	-0.08549379	
0.0946	-0.08252147	
0.0948	-0.08338879	
0.095	-0.08205286	
0.09519999	-0.08095562	
0.0954	-0.07863688	
0.09559999	-0.07633535	
0.0958	-0.07651534	
0.096	-0.07486113	
0.0962	-0.07318008	
0.0964	-0.0719481	
0.0966	-0.07368184	
0.0968	-0.07448531	
0.097	-0.07550386	
0.0972	-0.07597265	
0.09739999	-0.07710454	
0.0976	-0.07834556	
0.09779999	-0.07785604	
0.098	-0.07537043	
0.0982	-0.07418624	
0.0984	-0.07371347	
0.0986	-0.07484804	
0.0988	-0.07307137	
0.099	-0.07447541	
0.0992	-0.07505534	
0.0994	-0.07340634	
0.09959999	-0.07177409	
0.0998	-0.07217763	
0.09999999	-0.07407176	
0.1002	-0.07423674	
0.1004	-0.07301003	
0.1006	-0.07226003	
0.1008	-0.07008418	
0.101	-0.06918676	
0.1012	-0.06770074	
0.1014	-0.06813369	
0.1016	-0.06907138	
0.1018	-0.07013192	
0.102	-0.07135123	
0.1022	-0.06881168	
0.1024	-0.06888322	
0.1026	-0.07044065	
0.1028	-0.07085528	
0.103	-0.0705319	
0.1032	-0.07088634	
0.1034	-0.07098611	
0.1036	-0.07307558	
0.1038	-0.07501124	
0.104	-0.07429784	
0.1042	-0.07506678	
0.1044	-0.07363202	
0.1046	-0.07299621	
0.1048	-0.07139087	
0.105	-0.0735902	
0.1052	-0.07404187	
0.1054	-0.07454342	
0.1056	-0.07287941	
0.1058	-0.07462546	
0.106	-0.07458518	
0.1062	-0.07677553	
0.1064	-0.07540288	
0.1066	-0.07403048	
0.1068	-0.07542637	
0.107	-0.07639764	
0.1072	-0.07647387	
0.1074	-0.07516263	
0.1076	-0.07334281	
0.1078	-0.07232448	
0.108	-0.07060189	
0.1082	-0.06897508	
0.1084	-0.07056767	
0.1086	-0.06909036	
0.1088	-0.07152563	
0.109	-0.07093699	
0.1092	-0.06988269	
0.1094	-0.06986722	
0.1096	-0.07063608	
0.1098	-0.07095759	
0.11	-0.07132252	
0.1102	-0.07326649	
0.1104	-0.07179797	
0.1106	-0.07179484	
0.1108	-0.06941002	
0.111	-0.06993113	
0.1112	-0.06797096	
0.1114	-0.06761464	
0.1116	-0.06953356	
0.1118	-0.06983101	
0.112	-0.06834856	
0.1122	-0.06974369	
0.1124	-0.06884329	
0.1126	-0.06821762	
0.1128	-0.06813727	
0.113	-0.06956419	
0.1132	-0.06775131	
0.1134	-0.06908228	
0.1136	-0.06785198	
0.1138	-0.06554332	
0.114	-0.06775206	
0.1142	-0.06810716	
0.1144	-0.06903414	
0.1146	-0.07116763	
0.1148	-0.07156002	
0.115	-0.07339992	
0.1152	-0.07576188	
0.1154	-0.07572204	
0.1156	-0.07500991	
0.1158	-0.07342098	
0.116	-0.07237396	
0.1162	-0.07278847	
0.1164	-0.07334772	
0.1166	-0.07259395	
0.1168	-0.07300976	
0.117	-0.07139947	
0.1172	-0.07146781	
0.1174	-0.07143749	
0.1176	-0.07097576	
0.1178	-0.07325073	
0.118	-0.07493766	
0.1182	-0.07364806	
0.1184	-0.07100791	
0.1186	-0.07000164	
0.1188	-0.06996488	
0.119	-0.07088891	
0.1192	-0.07088877	
0.1194	-0.06917105	
0.1196	-0.07076923	
0.1198	-0.07303718	
0.12	-0.07393765	
0.1202	-0.07313526	
0.1204	-0.07151975	
0.1206	-0.07385151	
0.1208	-0.0747266	
0.121	-0.07333235	
0.1212	-0.07221602	
0.1214	-0.07264435	
0.1216	-0.07367589	
0.1218	-0.07343387	
0.122	-0.07123656	
0.1222	-0.07136714	
0.1224	-0.07232088	
0.1226	-0.07135926	
0.1228	-0.06935667	
0.123	-0.06763005	
0.1232	-0.06548925	
0.1234	-0.06658588	
0.1236	-0.0683753	
0.1238	-0.06935999	
0.124	-0.07008861	
0.1242	-0.07174832	
0.1244	-0.07076887	
0.1246	-0.06981591	
0.1248	-0.06771605	
0.125	-0.06621446	
0.1252	-0.06813838	
0.1254	-0.06979734	
0.1256	-0.07180601	
0.1258	-0.07406291	
0.126	-0.07434559	
0.1262	-0.07412553	
0.1264	-0.07158812	
0.1266	-0.07013427	
0.1268	-0.07242148	
0.127	-0.07174371	
0.1272	-0.07324086	
0.1274	-0.07091271	
0.1276	-0.07033301	
0.1278	-0.07168024	
0.128	-0.0736784	
0.1282	-0.07211955	
0.1284	-0.07295498	
0.1286	-0.07328232	
0.1288	-0.07260299	
0.129	-0.07152944	
0.1292	-0.07296359	
0.1294	-0.07409338	
0.1296	-0.07297329	
0.1298	-0.07282001	
0.13	-0.0739864	
0.1302	-0.07492533	
0.1304	-0.0738303	
0.1306	-0.07508741	
0.1308	-0.07495819	
0.131	-0.07264496	
0.1312	-0.07373887	
0.1314	-0.07220115	
0.1316	-0.07320122	
0.1318	-0.07427943	
0.132	-0.07208436	
0.1322	-0.07336704	
0.1324	-0.07435588	
0.1326	-0.07271798	
0.1328	-0.07090565	
0.133	-0.07248495	
0.1332	-0.07390542	
0.1334	-0.0747816	
0.1336	-0.07544123	
0.1338	-0.07364205	
0.134	-0.07126597	
0.1342	-0.07148528	
0.1344	-0.07139676	
0.1346	-0.06959274	
0.1348	-0.07009159	
0.135	-0.06788997	
0.1352	-0.07033751	
0.1354	-0.07183868	
0.1356	-0.07115766	
0.1358	-0.06898261	
0.136	-0.06978584	
0.1362	-0.07028841	
0.1364	-0.07139309	
0.1366	-0.071498	
0.1368	-0.07361913	
0.137	-0.07485307	
0.1372	-0.07549082	
0.1374	-0.07420745	
0.1376	-0.07620402	
0.1378	-0.07525738	
0.138	-0.07753216	
0.1382	-0.07517095	
0.1384	-0.07726341	
0.1386	-0.07700142	
0.1388	-0.07748215	
0.139	-0.07849656	
0.1392	-0.08020364	
0.1394	-0.07890211	
0.1396	-0.07845151	
0.1398	-0.07738027	
0.14	-0.07851221	
0.1402	-0.07683556	
0.1404	-0.07410918	
0.1406	-0.07335944	
0.1408	-0.07439176	
0.141	-0.07318399	
0.1412	-0.07215831	
0.1414	-0.0712223	
0.1416	-0.07104306	
0.1418	-0.07108417	
0.142	-0.07134204	
0.1422	-0.06921928	
0.1424	-0.06844214	
0.1426	-0.07086405	
0.1428	-0.07265632	
0.143	-0.07053512	
0.1432	-0.06907481	
0.1434	-0.06938125	
0.1436	-0.07121564	
0.1438	-0.07094526	
0.144	-0.07024357	
0.1442	-0.07263652	
0.1444	-0.07396484	
0.1446	-0.07199498	
0.1448	-0.07430003	
0.145	-0.07345749	
0.1452	-0.07268721	
0.1454	-0.07258298	
0.1456	-0.07177085	
0.1458	-0.07228012	
0.146	-0.07148017	
0.1462	-0.07390153	
0.1464	-0.07192545	
0.1466	-0.07067201	
0.1468	-0.07145967	
0.147	-0.07264415	
0.1472	-0.07298566	
0.1474	-0.07050914	
0.1476	-0.06993762	
0.1478	-0.07197893	
0.148	-0.06969706	
