Time	FF	Vm	Ii	
1.142	0.4999951	-0.02000049	5E-09	
1.144	0.4999952	-0.02000048	5E-09	
1.146	0.4999954	-0.02000047	5E-09	
1.148	0.4999954	-0.02000046	5E-09	
1.15	0.4999955	-0.02000045	5E-09	
1.152	0.4999956	-0.02000044	5E-09	
1.154	0.4999956	-0.02000044	5E-09	
1.156	0.4999957	-0.02000043	5E-09	
1.158	0.4999958	-0.02000042	5E-09	
1.16	0.4999959	-0.02000041	5E-09	
1.162	0.4999959	-0.02000041	5E-09	
1.164	0.499996	-0.0200004	5E-09	
1.166	0.4999961	-0.02000039	5E-09	
1.168	0.4999962	-0.02000038	5E-09	
1.17	0.4999962	-0.02000038	5E-09	
1.172	0.4999963	-0.02000037	5E-09	
1.174	0.4999964	-0.02000036	5E-09	
1.176	0.4999965	-0.02000035	5E-09	
1.178	0.4999965	-0.02000035	5E-09	
1.18	0.4999966	-0.02000034	5E-09	
1.182	0.4999967	-0.02000033	5E-09	
1.184	0.4999968	-0.02000032	5E-09	
1.186	0.4999968	-0.02000032	5E-09	
1.188	0.4999969	-0.02000031	5E-09	
1.19	0.499997	-0.0200003	5E-09	
1.192	0.4999971	-0.02000029	5E-09	
1.194	0.4999971	-0.02000029	5E-09	
1.196	0.4999972	-0.02000028	5E-09	
1.198	0.4999973	-0.02000027	5E-09	
1.2	0.4999973	-0.02000027	5E-09	
1.202	0.4999974	-0.02000026	5E-09	
1.204	0.4999974	-0.02000026	5E-09	
1.206	0.4999974	-0.02000026	5E-09	
