Time	External_1b	External_3	Synaptic_2	External_6b	FF_3	FF_2	FF_1b	FF_6b	External_1a	Synaptic_4	External_5	FF_4	FF_5	FF_1a	
0.6530001	0	5E-09	8.348713E-12	0	0.9999806	0.005146571	0.001502801	0	0	1.796454E-16	5E-09	2.952112E-05	0.9999806	0.001502801	
0.654	0	5E-09	7.513858E-12	0	0.9999826	0.004707052	0.00135252	0	0	1.455576E-16	5E-09	2.657046E-05	0.9999826	0.00135252	
0.655	0	5E-09	6.762485E-12	0	0.9999843	0.004303972	0.001217268	0	0	1.177001E-16	5E-09	2.391459E-05	0.9999843	0.001217268	
0.656	0	5E-09	6.086246E-12	0	0.9999859	0.003934437	0.001095542	0	0	9.57724E-17	5E-09	2.152409E-05	0.9999859	0.001095542	
0.657	0	5E-09	5.477631E-12	0	0.9999872	0.003595769	0.0009859875	0	0	7.737976E-17	5E-09	1.937245E-05	0.9999872	0.0009859875	
0.6580001	0	5E-09	4.929875E-12	0	0.9999886	0.003285491	0.0008873887	0	0	6.28833E-17	5E-09	1.743584E-05	0.9999886	0.0008873887	
0.659	0	5E-09	4.436893E-12	0	0.9999896	0.003001311	0.0007986498	0	0	5.077679E-17	5E-09	1.569276E-05	0.9999896	0.0007986498	
0.66	0	5E-09	3.993208E-12	0	0.9999907	0.002741112	0.0007187848	0	0	4.141482E-17	5E-09	1.41239E-05	0.9999907	0.0007187848	
0.661	0	5E-09	3.593891E-12	0	0.9999916	0.00250294	0.0006469063	0	0	3.341747E-17	5E-09	1.271184E-05	0.9999916	0.0006469063	
0.6620001	0	5E-09	3.234504E-12	0	0.9999924	0.002284991	0.0005822157	0	0	2.718383E-17	5E-09	1.144093E-05	0.9999924	0.0005822157	
0.663	0	5E-09	2.911056E-12	0	0.9999931	0.002085602	0.0005239942	0	0	2.203625E-17	5E-09	1.029706E-05	0.9999931	0.0005239942	
0.664	0	5E-09	2.619953E-12	0	0.9999938	0.001903242	0.0004715947	0	0	1.795868E-17	5E-09	9.267532E-06	0.9999938	0.0004715947	
0.665	0	5E-09	2.357959E-12	0	0.9999944	0.001736497	0.0004244352	0	0	1.46168E-17	5E-09	8.340925E-06	0.9999944	0.0004244352	
0.666	0	5E-09	2.122164E-12	0	0.999995	0.001584069	0.0003819917	0	0	1.189021E-17	5E-09	7.506951E-06	0.999995	0.0003819917	
0.6670001	0	5E-09	1.909949E-12	0	0.9999955	0.001444761	0.0003437925	0	0	9.562761E-18	5E-09	6.756351E-06	0.9999955	0.0003437925	
0.668	0	5E-09	1.718955E-12	0	0.999996	0.001317475	0.0003094133	0	0	7.684361E-18	5E-09	6.080793E-06	0.999996	0.0003094133	
0.669	0	5E-09	1.54706E-12	0	0.9999964	0.001201198	0.0002784719	0	0	6.178226E-18	5E-09	5.472775E-06	0.9999964	0.0002784719	
0.67	0	5E-09	1.392354E-12	0	0.9999967	0.001095002	0.0002506247	0	0	5.062457E-18	5E-09	4.925548E-06	0.9999967	0.0002506247	
0.671	0	5E-09	1.253119E-12	0	0.999997	0.0009980327	0.0002255623	0	0	4.108059E-18	5E-09	4.433035E-06	0.999997	0.0002255623	
0.6720001	0	5E-09	1.127808E-12	0	0.9999973	0.0009095075	0.000203006	0	0	3.361139E-18	5E-09	3.989765E-06	0.9999973	0.000203006	
0.673	0	5E-09	1.015027E-12	0	0.9999976	0.0008287071	0.0001827054	0	0	2.722523E-18	5E-09	3.590815E-06	0.9999976	0.0001827054	
0.674	0	5E-09	9.135249E-13	0	0.9999979	0.0007549715	0.0001644349	0	0	2.178018E-18	5E-09	3.231755E-06	0.9999979	0.0001644349	
0.675	0	5E-09	8.221725E-13	0	0.9999981	0.0006876962	0.0001479914	0	0	1.764195E-18	5E-09	2.908598E-06	0.9999981	0.0001479914	
0.6760001	0	5E-09	7.399555E-13	0	0.9999983	0.0006263261	0.0001331922	0	0	1.411356E-18	5E-09	2.617752E-06	0.9999983	0.0001331922	
0.677	0	5E-09	6.659601E-13	0	0.9999985	0.0005703531	0.000119873	0	0	1.111443E-18	5E-09	2.355988E-06	0.9999985	0.000119873	
0.678	0	5E-09	5.993641E-13	0	0.9999986	0.0005193114	0.0001078857	0	0	9.288485E-19	5E-09	2.120398E-06	0.9999986	0.0001078857	
