Time	External_1b	External_3	Synaptic_2	External_6b	FF_3	FF_2	FF_1b	FF_6b	External_1a	Synaptic_4	External_5	FF_4	FF_5	FF_1a	
0.586	4E-09	5E-09	1.949924E-09	0	0.9763504	0.1770184	0.3999439	0	4E-09	4.978113E-11	5E-09	0.02269856	0.9763504	0.3999439	
0.5865	4E-09	5E-09	1.952427E-09	0	0.9775329	0.1779296	0.3999467	0	4E-09	4.729251E-11	5E-09	0.0218001	0.9775329	0.3999467	
0.587	4E-09	5E-09	1.954805E-09	0	0.9786563	0.1788072	0.3999494	0	4E-09	4.492817E-11	5E-09	0.02093473	0.9786563	0.3999494	
0.5875	4E-09	5E-09	1.957065E-09	0	0.9797235	0.1796522	0.3999519	0	4E-09	4.268201E-11	5E-09	0.02010141	0.9797235	0.3999519	
0.588	4E-09	5E-09	1.959211E-09	0	0.9807373	0.1804656	0.3999543	0	4E-09	4.054821E-11	5E-09	0.01929908	0.9807373	0.3999543	
0.5885	4E-09	5E-09	1.961251E-09	0	0.9817004	0.1812486	0.3999566	0	4E-09	3.852106E-11	5E-09	0.01852673	0.9817004	0.3999566	
0.589	4E-09	5E-09	1.963188E-09	0	0.9826154	0.1820021	0.3999588	0	4E-09	3.659519E-11	5E-09	0.01778337	0.9826154	0.3999588	
0.5895	4E-09	5E-09	1.965028E-09	0	0.9834847	0.1827271	0.3999608	0	4E-09	3.476559E-11	5E-09	0.01706803	0.9834847	0.3999608	
0.59	4E-09	5E-09	1.966777E-09	0	0.9843104	0.1834247	0.3999628	0	4E-09	3.302739E-11	5E-09	0.01637976	0.9843104	0.3999628	
0.5905001	4E-09	5E-09	1.968438E-09	0	0.9850949	0.1840956	0.3999646	0	4E-09	3.137618E-11	5E-09	0.01571765	0.9850949	0.3999646	
0.591	4E-09	5E-09	1.970016E-09	0	0.9858402	0.1847409	0.3999664	0	4E-09	2.980756E-11	5E-09	0.01508081	0.9858402	0.3999664	
0.5915	4E-09	5E-09	1.971515E-09	0	0.9865481	0.1853614	0.3999681	0	4E-09	2.831722E-11	5E-09	0.01446836	0.9865481	0.3999681	
0.592	4E-09	5E-09	1.972939E-09	0	0.9872207	0.1859581	0.3999697	0	4E-09	2.69016E-11	5E-09	0.01387944	0.9872207	0.3999697	
0.5925	4E-09	5E-09	1.974292E-09	0	0.9878597	0.1865316	0.3999712	0	4E-09	2.555665E-11	5E-09	0.01331326	0.9878597	0.3999712	
0.5930001	4E-09	5E-09	1.975577E-09	0	0.9884667	0.1870829	0.3999726	0	4E-09	2.427892E-11	5E-09	0.01276899	0.9884667	0.3999726	
0.5935	4E-09	5E-09	1.976798E-09	0	0.9890434	0.1876128	0.399974	0	4E-09	2.306506E-11	5E-09	0.01224586	0.9890434	0.399974	
0.594	4E-09	5E-09	1.977958E-09	0	0.9895912	0.1881219	0.3999753	0	4E-09	2.191187E-11	5E-09	0.01174313	0.9895912	0.3999753	
0.5945	4E-09	5E-09	1.97906E-09	0	0.9901116	0.1886111	0.3999766	0	4E-09	2.081635E-11	5E-09	0.01126005	0.9901116	0.3999766	
0.595	4E-09	5E-09	1.980107E-09	0	0.990606	0.1890811	0.3999777	0	4E-09	1.977566E-11	5E-09	0.01079593	0.990606	0.3999777	
0.5955001	4E-09	5E-09	1.981102E-09	0	0.9910757	0.1895326	0.3999788	0	4E-09	1.878693E-11	5E-09	0.01035007	0.9910757	0.3999788	
0.596	4E-09	5E-09	1.982046E-09	0	0.991522	0.1899662	0.3999799	0	4E-09	1.784766E-11	5E-09	0.009921803	0.991522	0.3999799	
0.5965	4E-09	5E-09	1.982944E-09	0	0.9919459	0.1903826	0.3999809	0	4E-09	1.695524E-11	5E-09	0.009510489	0.9919459	0.3999809	
0.597	4E-09	5E-09	1.983797E-09	0	0.9923486	0.1907824	0.3999819	0	4E-09	1.61075E-11	5E-09	0.009115502	0.9923486	0.3999819	
0.5975	4E-09	5E-09	1.984607E-09	0	0.9927312	0.1911663	0.3999828	0	4E-09	1.53022E-11	5E-09	0.008736238	0.9927312	0.3999828	
0.598	4E-09	5E-09	1.985377E-09	0	0.9930946	0.1915349	0.3999836	0	4E-09	1.453707E-11	5E-09	0.008372111	0.9930946	0.3999836	
0.5985	4E-09	5E-09	1.986108E-09	0	0.9934399	0.1918887	0.3999844	0	4E-09	1.381031E-11	5E-09	0.008022558	0.9934399	0.3999844	
0.599	4E-09	5E-09	1.986802E-09	0	0.9937679	0.1922283	0.3999852	0	4E-09	1.311978E-11	5E-09	0.007687029	0.9937679	0.3999852	
0.5995	4E-09	5E-09	1.987462E-09	0	0.9940794	0.1925542	0.3999859	0	4E-09	1.246382E-11	5E-09	0.007364997	0.9940794	0.3999859	
0.6	0	5E-09	1.988089E-09	0	0.9943754	0.1928669	0.3799866	0	0	1.184076E-11	5E-09	0.007055951	0.9943754	0.3799866	
0.6005	0	5E-09	1.889247E-09	0	0.9946567	0.1926698	0.3609873	0	0	1.068635E-11	5E-09	0.006756585	0.9946567	0.3609873	
0.601	0	5E-09	1.795292E-09	0	0.9949238	0.1920128	0.342938	0	0	9.64435E-12	5E-09	0.006466977	0.9949238	0.342938	
0.6015	0	5E-09	1.705986E-09	0	0.9951777	0.1909421	0.3257911	0	0	8.704057E-12	5E-09	0.006187148	0.9951777	0.3257911	
0.6020001	0	5E-09	1.6211E-09	0	0.9954188	0.1895005	0.3095015	0	0	7.855334E-12	5E-09	0.005917068	0.9954188	0.3095015	
0.6025	0	5E-09	1.540418E-09	0	0.9956478	0.1877275	0.2940264	0	0	7.089461E-12	5E-09	0.005656662	0.9956478	0.2940264	
0.603	0	5E-09	1.463734E-09	0	0.9958655	0.1856598	0.2793251	0	0	6.398239E-12	5E-09	0.00540582	0.9958655	0.2793251	
0.6035	0	5E-09	1.390851E-09	0	0.9960722	0.1833311	0.2653588	0	0	5.774398E-12	5E-09	0.005164401	0.9960722	0.2653588	
0.604	0	5E-09	1.321583E-09	0	0.9962686	0.1807724	0.2520909	0	0	5.211339E-12	5E-09	0.004932237	0.9962686	0.2520909	
0.6045001	0	5E-09	1.255751E-09	0	0.9964552	0.1780126	0.2394864	0	0	4.703222E-12	5E-09	0.004709141	0.9964552	0.2394864	
0.605	0	5E-09	1.193187E-09	0	0.9966325	0.1750779	0.227512	0	0	4.244665E-12	5E-09	0.004494908	0.9966325	0.227512	
0.6055	0	5E-09	1.133729E-09	0	0.9968008	0.1719926	0.2161364	0	0	3.830783E-12	5E-09	0.004289316	0.9968008	0.2161364	
0.606	0	5E-09	1.077225E-09	0	0.9969608	0.1687791	0.2053296	0	0	3.45734E-12	5E-09	0.004092137	0.9969608	0.2053296	
0.6065	0	5E-09	1.023528E-09	0	0.9971128	0.1654578	0.1950631	0	0	3.120231E-12	5E-09	0.003903131	0.9971128	0.1950631	
0.6070001	0	5E-09	9.724996E-10	0	0.9972572	0.1620474	0.18531	0	0	2.815979E-12	5E-09	0.003722054	0.9972572	0.18531	
0.6075	0	5E-09	9.240084E-10	0	0.9973943	0.1585651	0.1760445	0	0	2.541366E-12	5E-09	0.003548658	0.9973943	0.1760445	
0.608	0	5E-09	8.779288E-10	0	0.9975246	0.1550265	0.1672422	0	0	2.293575E-12	5E-09	0.003382694	0.9975246	0.1672422	
0.6085	0	5E-09	8.341412E-10	0	0.9976484	0.1514459	0.1588801	0	0	2.069941E-12	5E-09	0.003223908	0.9976484	0.1588801	
0.609	0	5E-09	7.925325E-10	0	0.997766	0.1478362	0.1509361	0	0	1.868146E-12	5E-09	0.003072054	0.997766	0.1509361	
0.6095001	0	5E-09	7.529947E-10	0	0.9978777	0.1442094	0.1433893	0	0	1.685988E-12	5E-09	0.002926881	0.9978777	0.1433893	
0.61	0	5E-09	7.154249E-10	0	0.9979838	0.140576	0.1362198	0	0	1.521606E-12	5E-09	0.002788145	0.9979838	0.1362198	
0.6105	0	5E-09	6.797259E-10	0	0.9980845	0.1369459	0.1294089	0	0	1.373264E-12	5E-09	0.002655604	0.9980845	0.1294089	
0.611	0	5E-09	6.458049E-10	0	0.9981803	0.1333276	0.1229384	0	0	1.239384E-12	5E-09	0.002529021	0.9981803	0.1229384	
0.6115	0	5E-09	6.135735E-10	0	0.9982712	0.1297291	0.1167915	0	0	1.118573E-12	5E-09	0.002408162	0.9982712	0.1167915	
0.612	0	5E-09	5.829479E-10	0	0.9983577	0.1261574	0.1109519	0	0	1.00953E-12	5E-09	0.002292802	0.9983577	0.1109519	
0.6125	0	5E-09	5.538484E-10	0	0.9984398	0.1226187	0.1054043	0	0	9.111072E-13	5E-09	0.002182718	0.9984398	0.1054043	
0.613	0	5E-09	5.261992E-10	0	0.9985178	0.1191188	0.1001341	0	0	8.222648E-13	5E-09	0.002077693	0.9985178	0.1001341	
0.6135001	0	5E-09	4.999284E-10	0	0.9985919	0.1156625	0.09512738	0	0	7.420881E-13	5E-09	0.001977519	0.9985919	0.09512738	
0.614	0	5E-09	4.749672E-10	0	0.9986624	0.1122542	0.09037101	0	0	6.697444E-13	5E-09	0.001881992	0.9986624	0.09037101	
0.6145	0	5E-09	4.512506E-10	0	0.9987292	0.1088978	0.08585246	0	0	6.044228E-13	5E-09	0.001790914	0.9987292	0.08585246	
0.615	0	5E-09	4.287168E-10	0	0.9987928	0.1055965	0.08155984	0	0	5.454941E-13	5E-09	0.001704096	0.9987928	0.08155984	
0.6155	0	5E-09	4.073069E-10	0	0.9988531	0.1023532	0.07748185	0	0	4.923084E-13	5E-09	0.001621353	0.9988531	0.07748185	
0.6160001	0	5E-09	3.869649E-10	0	0.9989105	0.09917034	0.07360776	0	0	4.443014E-13	5E-09	0.001542507	0.9989105	0.07360776	
0.6165	0	5E-09	3.676378E-10	0	0.998965	0.09605001	0.06992736	0	0	4.009612E-13	5E-09	0.001467386	0.998965	0.06992736	
0.617	0	5E-09	3.492749E-10	0	0.9990168	0.09299389	0.066431	0	0	3.618862E-13	5E-09	0.001395826	0.9990168	0.066431	
