Time	Length	Velocity	
5.327	0.3360718	0.0002384186	
5.328	0.3360721	0.0002384186	
5.329	0.3360724	0.0002682209	
5.33	0.3360726	0.0002682209	
5.331	0.3360729	0.0002384186	
5.332	0.3360731	0.0002384186	
5.333	0.3360733	0.0002086163	
5.334	0.3360735	0.0002086163	
5.335	0.3360737	0.0002086163	
5.336	0.336074	0.0002384186	
5.337	0.3360742	0.0002384186	
5.338	0.3360744	0.0002086163	
5.339	0.3360747	0.0002384186	
5.34	0.3360749	0.0002086163	
5.341	0.3360751	0.0002086163	
5.342	0.3360752	0.0001788139	
5.343	0.3360755	0.0002086163	
5.344	0.3360756	0.0001788139	
5.345	0.3360758	0.0001788139	
5.346	0.336076	0.0001788139	
5.347	0.3360762	0.0002086163	
5.348	0.3360764	0.0001788139	
5.349	0.3360766	0.0002086163	
5.35	0.3360768	0.0002086163	
5.351	0.3360769	0.0001490116	
5.352	0.3360771	0.0001490116	
5.353	0.3360772	0.0001490116	
5.354	0.3360774	0.0001788139	
5.355	0.3360776	0.0001490116	
5.356	0.3360777	0.0001490116	
5.357	0.3360779	0.0001490116	
5.358	0.336078	0.0001490116	
5.359	0.3360781	0.0001192093	
5.36	0.3360783	0.0001490116	
5.361	0.3360784	0.0001490116	
5.362	0.3360786	0.0001490116	
5.363	0.3360787	8.940697E-05	
5.364	0.3360788	0.0001192093	
5.365	0.3360789	0.0001192093	
5.366	0.336079	0.0001192093	
5.367	0.3360792	0.0001490116	
5.368	0.3360792	5.960465E-05	
5.369	0.3360793	8.940697E-05	
5.37	0.3360794	0.0001192093	
5.371	0.3360795	8.940697E-05	
5.372	0.3360796	8.940697E-05	
5.373	0.3360797	8.940697E-05	
5.374	0.3360798	8.940697E-05	
5.375	0.3360799	5.960465E-05	
5.376	0.33608	8.940697E-05	
5.377	0.33608	5.960465E-05	
5.378	0.33608	2.980232E-05	
5.379	0.3360801	8.940697E-05	
5.38	0.3360802	2.980232E-05	
5.381	0.3360802	5.960465E-05	
5.382	0.3360803	5.960465E-05	
5.383	0.3360803	5.960465E-05	
5.384	0.3360804	5.960465E-05	
5.385	0.3360804	2.980232E-05	
5.386	0.3360805	5.960465E-05	
5.387	0.3360805	2.980232E-05	
5.388	0.3360805	0	
5.389	0.3360806	5.960465E-05	
5.39	0.3360806	5.960465E-05	
5.391	0.3360806	0	
5.392	0.3360807	2.980232E-05	
5.393	0.3360807	5.960465E-05	
5.394	0.3360808	2.980232E-05	
