Time	OdorSensor	Mouth	Eat	Food_Near	Energy	
0.0788	12376.91	0.0008801247	0.176025	0.5359221	10057.95	
0.0792	12376.49	0.0008801247	0.176025	0.5359221	10058.81	
0.0796	12376.06	0.0008801247	0.1832229	0.5452037	10059.67	
0.08	12375.63	0.0009161145	0.1832229	0.5452037	10060.53	
0.0804	12375.19	0.0009161145	0.1832229	0.5452037	10061.43	
0.0808	12374.74	0.0009161145	0.1832229	0.5452037	10062.33	
0.0812	12374.29	0.0009161145	0.1832229	0.5452037	10063.22	
0.0816	12373.84	0.0009161145	0.1904625	0.5542996	10064.12	
0.08199999	12373.37	0.0009523126	0.1904625	0.5542996	10065.01	
0.0824	12372.9	0.0009523126	0.1904625	0.5542996	10065.95	
0.0828	12372.42	0.0009523126	0.1904625	0.5542996	10066.88	
0.0832	12371.93	0.0009523126	0.1904625	0.5542996	10067.81	
0.0836	12371.43	0.0009523126	0.1977393	0.5632136	10068.75	
0.084	12370.93	0.0009886964	0.1977393	0.5632136	10069.68	
0.0844	12370.42	0.0009886964	0.1977393	0.5632136	10070.65	
0.0848	12369.91	0.0009886964	0.1977393	0.5632136	10071.62	
0.0852	12369.39	0.0009886964	0.1977393	0.5632136	10072.58	
0.0856	12368.86	0.0009886964	0.2050488	0.5719494	10073.55	
0.086	12368.32	0.001025244	0.2050488	0.5719494	10074.52	
0.08639999	12367.76	0.001025244	0.2050488	0.5719494	10075.53	
0.08679999	12367.21	0.001025244	0.2050488	0.5719494	10076.53	
0.0872	12366.64	0.001025244	0.2050488	0.5719494	10077.54	
0.0876	12366.07	0.001025244	0.2123868	0.5805104	10078.54	
0.088	12365.5	0.001061934	0.2123868	0.5805104	10079.55	
0.0884	12364.91	0.001061934	0.2123868	0.5805104	10080.59	
0.0888	12364.32	0.001061934	0.2123868	0.5805104	10081.63	
0.0892	12363.72	0.001061934	0.2123868	0.5805104	10082.68	
0.0896	12363.11	0.001061934	0.2197492	0.5889002	10083.72	
0.09	12362.49	0.001098746	0.2197492	0.5889002	10084.76	
0.0904	12361.86	0.001098746	0.2197492	0.5889002	10085.84	
0.09079999	12361.22	0.001098746	0.2197492	0.5889002	10086.92	
0.09119999	12360.58	0.001098746	0.2197492	0.5889002	10088	
0.0916	12359.92	0.001098746	0.2271323	0.5971222	10089.08	
0.092	12359.26	0.001135661	0.2271323	0.5971222	10090.16	
0.0924	12358.59	0.001135661	0.2271323	0.5971222	10091.27	
0.0928	12357.91	0.001135661	0.2271323	0.5971222	10092.39	
0.0932	12357.22	0.001135661	0.2271323	0.5971222	10093.5	
0.0936	12356.52	0.001135661	0.2345321	0.6051797	10094.62	
0.094	12355.82	0.00117266	0.2345321	0.6051797	10095.74	
0.0944	12355.11	0.00117266	0.2345321	0.6051797	10096.89	
0.0948	12354.38	0.00117266	0.2345321	0.6051797	10098.04	
