Time	1	2	3	
0.0515	-0.0415504	-0.06	-0.04112125	
0.052	-0.04106072	-0.06	-0.0412799	
0.0525	-0.04053321	-0.06	-0.04126633	
0.053	-0.0399835	-0.06	-0.04115276	
0.0535	-0.03942376	-0.06	-0.04098683	
0.054	-0.03886347	-0.06	-0.04080023	
0.0545	-0.03830997	-0.06	-0.04061401	
0.055	-0.0377689	-0.06	-0.04044204	
0.0555	-0.0372445	-0.06	-0.04029323	
0.056	-0.03673989	-0.06	-0.04017304	
0.0565	-0.03625727	-0.06	-0.04008446	
0.057	-0.0357981	-0.06	-0.0400288	
0.0575	-0.0353632	-0.06	-0.04000614	
0.058	-0.03495297	-0.06	-0.04001574	
0.0585	0	-0.06	-0.04005627	
0.059	-0.03743133	-0.06	0	
0.0595	-0.03932288	-0.06	-0.03034716	
0.06	-0.04052881	-0.06	-0.02920217	
0.0605	-0.04124275	-0.06	-0.0283175	
0.061	-0.04159902	-0.06	-0.02760806	
0.0615	-0.04169317	-0.06	0	
0.062	-0.04159467	-0.06	-0.02982075	
0.0625	-0.04135503	-0.06	-0.03087523	
0.063	-0.0410131	-0.06	-0.0310896	
0.0635	-0.04059854	-0.06	-0.03090239	
0.064	-0.04013427	-0.06	0	
0.0645	-0.03963809	-0.06	-0.03315275	
0.065	-0.03912389	-0.06	-0.03413196	
0.0655	-0.03860253	-0.06	-0.03429673	
0.066	-0.03808244	-0.06	-0.03405932	
0.0665	-0.03757013	-0.06	-0.03363409	
0.067	-0.03707055	-0.06	0	
0.0675	-0.03658743	-0.06	-0.03555388	
0.068	-0.03612344	-0.06	-0.03652771	
0.0685	-0.03568046	-0.06	-0.03674536	
0.069	-0.03525968	-0.06	-0.036568	
0.0695	-0.03486175	-0.06	-0.03619253	
0.07	-0.0344869	-0.06	-0.03572961	
0.0705	-0.03413501	-0.06	-0.03524287	
0.07099999	-0.03380568	-0.06	-0.03476929	
0.0715	0	-0.06	-0.03433027	
0.072	-0.03653196	-0.06	0	
0.0725	-0.03855592	-0.06	-0.02462994	
0.073	-0.03986718	-0.06	-0.02392972	
0.0735	-0.04066636	-0.06	-0.0233032	
0.074	-0.04109272	-0.06	-0.02275379	
0.07449999	-0.04124535	-0.06	0	
0.075	-0.04119626	-0.06	-0.02513615	
0.0755	-0.04099889	-0.06	-0.02585549	
0.076	-0.04069347	-0.06	-0.025759	
0.0765	-0.04031075	-0.06	-0.025366	
0.077	-0.03987446	-0.06	0	
0.0775	-0.03940304	-0.06	-0.0276044	
0.078	-0.03891088	-0.06	-0.02832443	
0.0785	-0.03840924	-0.06	-0.02822682	
0.079	-0.03790685	-0.06	-0.02780654	
0.0795	-0.03741051	-0.06	0	
0.08	-0.03692536	-0.06	-0.029862	
0.0805	-0.03645531	-0.06	-0.03059953	
