Time	MV	Tension	Length	A	
0.0512	-0.06185097	2.995541	0.4999978	38.98997	
0.0514	-0.0619259	2.995541	0.4999978	38.98997	
0.0516	-0.06200277	2.995541	0.4999978	38.98997	
0.0518	-0.06208141	3.163482	0.4999976	37.34472	
0.052	-0.06216171	3.163482	0.4999976	37.34472	
0.0522	-0.06224354	3.163482	0.4999976	37.34472	
0.0524	-0.06232678	3.163482	0.4999976	37.34472	
0.0526	-0.06241133	3.163482	0.4999976	37.34472	
0.0528	-0.06249708	3.320784	0.4999975	35.42694	
0.053	-0.06258393	3.320784	0.4999975	35.42694	
0.0532	-0.06267181	3.320784	0.4999975	35.42694	
0.0534	-0.06276062	3.320784	0.4999975	35.42694	
0.0536	-0.0628503	3.320784	0.4999975	35.42694	
0.0538	-0.06294076	3.466873	0.4999974	33.38415	
0.054	-0.06303193	3.466873	0.4999974	33.38415	
0.0542	-0.06312377	3.466873	0.4999974	33.38415	
0.0544	-0.06321619	3.466873	0.4999974	33.38415	
0.0546	-0.06330916	3.466873	0.4999974	33.38415	
0.0548	-0.06340262	3.601692	0.4999972	31.31563	
0.055	-0.06349652	3.601692	0.4999972	31.31563	
0.0552	-0.0635908	3.601692	0.4999972	31.31563	
0.0554	-0.06368544	3.601692	0.4999972	31.31563	
0.0556	-0.06378039	3.601692	0.4999972	31.31563	
0.0558	-0.06387562	3.725533	0.499997	29.28556	
0.056	-0.06397107	3.725533	0.499997	29.28556	
0.0562	-0.06406675	3.725533	0.499997	29.28556	
0.0564	-0.06416258	3.725533	0.499997	29.28556	
0.0566	-0.06425858	3.725533	0.499997	29.28556	
0.0568	-0.06435468	3.838839	0.4999969	27.33327	
0.057	-0.06445088	3.838839	0.4999969	27.33327	
0.0572	-0.06454715	3.838839	0.4999969	27.33327	
0.0574	-0.06464347	3.838839	0.4999969	27.33327	
0.0576	-0.06473982	3.838839	0.4999969	27.33327	
0.0578	-0.06483618	3.942174	0.4999968	25.48105	
0.058	-0.06493253	3.942174	0.4999968	25.48105	
0.0582	-0.06502885	3.942174	0.4999968	25.48105	
0.0584	-0.06512514	3.942174	0.4999968	25.48105	
0.0586	-0.06522137	3.942174	0.4999968	25.48105	
0.0588	-0.06531753	4.036159	0.4999966	23.73999	
0.059	-0.06541362	4.036159	0.4999966	23.73999	
0.0592	-0.0655096	4.036159	0.4999966	23.73999	
0.0594	-0.06560548	4.036159	0.4999966	23.73999	
0.0596	-0.06570125	4.036159	0.4999966	23.73999	
0.0598	-0.06579689	4.121439	0.4999965	22.11362	
0.06	-0.0658924	4.121439	0.4999965	22.11362	
0.0602	-0.06598777	4.121439	0.4999965	22.11362	
0.0604	-0.06608298	4.121439	0.4999965	22.11362	
0.0606	-0.06617804	4.121439	0.4999965	22.11362	
0.0608	-0.06627294	4.198607	0.4999963	20.60077	
0.061	-0.06636766	4.198607	0.4999963	20.60077	
0.0612	-0.0664622	4.198607	0.4999963	20.60077	
0.0614	-0.06655657	4.198607	0.4999963	20.60077	
0.0616	-0.06665076	4.198607	0.4999963	20.60077	
0.0618	-0.06674475	4.268292	0.4999962	19.19757	
0.062	-0.06683855	4.268292	0.4999962	19.19757	
0.0622	-0.06693214	4.268292	0.4999962	19.19757	
0.0624	-0.06702553	4.268292	0.4999962	19.19757	
0.0626	-0.06711872	4.268292	0.4999962	19.19757	
0.0628	-0.0672117	4.331045	0.4999961	17.89841	
0.063	-0.06730446	4.331045	0.4999961	17.89841	
0.0632	-0.06739701	4.331045	0.4999961	17.89841	
0.0634	-0.06748933	4.331045	0.4999961	17.89841	
0.0636	-0.06758144	4.331045	0.4999961	17.89841	
0.0638	-0.06767333	4.387398	0.499996	16.69687	
0.064	-0.067765	4.387398	0.499996	16.69687	
0.0642	-0.06785644	4.387398	0.499996	16.69687	
0.06439999	-0.06794765	4.387398	0.499996	16.69687	
0.0646	-0.06803863	4.387398	0.499996	16.69687	
0.0648	-0.06812938	4.437846	0.4999959	15.58628	
0.065	-0.0682199	4.437846	0.4999959	15.58628	
0.0652	-0.06831019	4.437846	0.4999959	15.58628	
0.0654	-0.06840024	4.437846	0.4999959	15.58628	
0.0656	-0.06849006	4.437846	0.4999959	15.58628	
0.0658	-0.06857964	4.482847	0.4999957	14.55993	
0.066	-0.06866899	4.482847	0.4999957	14.55993	
0.0662	-0.0687581	4.482847	0.4999957	14.55993	
0.0664	-0.06884698	4.482847	0.4999957	14.55993	
0.06659999	-0.06893562	4.482847	0.4999957	14.55993	
0.0668	-0.06902402	4.522824	0.4999956	13.61135	
0.067	-0.06911218	4.522824	0.4999956	13.61135	
0.0672	-0.06920011	4.522824	0.4999956	13.61135	
0.0674	-0.06928779	4.522824	0.4999956	13.61135	
0.0676	-0.06937524	4.522824	0.4999956	13.61135	
0.0678	-0.06946245	4.558166	0.4999955	12.73441	
0.068	-0.06954943	4.558166	0.4999955	12.73441	
0.0682	-0.06963615	4.558166	0.4999955	12.73441	
0.0684	-0.06972264	4.558166	0.4999955	12.73441	
0.0686	-0.06980891	4.558166	0.4999955	12.73441	
0.06879999	-0.06989492	4.589246	0.4999954	11.92335	
0.069	-0.06998071	4.589246	0.4999954	11.92335	
0.0692	-0.07006625	4.589246	0.4999954	11.92335	
0.0694	-0.07015156	4.589246	0.4999954	11.92335	
0.0696	-0.07023662	4.589246	0.4999954	11.92335	
0.0698	-0.07032146	4.61638	0.4999953	11.17282	
0.07	-0.07040605	4.61638	0.4999953	11.17282	
0.0702	-0.07049041	4.61638	0.4999953	11.17282	
0.0704	-0.07057453	4.61638	0.4999953	11.17282	
0.0706	-0.07065842	4.61638	0.4999953	11.17282	
0.0708	-0.07074206	4.639869	0.4999952	10.47788	
0.07099999	-0.07082549	4.639869	0.4999952	10.47788	
0.0712	-0.07090867	4.639869	0.4999952	10.47788	
0.0714	-0.07099161	4.639869	0.4999952	10.47788	
0.0716	-0.07107434	4.639869	0.4999952	10.47788	
0.0718	-0.07115681	4.659992	0.4999951	9.834001	
0.072	-0.07123907	4.659992	0.4999951	9.834001	
0.0722	-0.07132109	4.659992	0.4999951	9.834001	
0.0724	-0.07140287	4.659992	0.4999951	9.834001	
0.0726	-0.07148443	4.659992	0.4999951	9.834001	
0.0728	-0.07156575	4.677004	0.4999951	9.237009	
0.073	-0.07164684	4.677004	0.4999951	9.237009	
0.07319999	-0.07172771	4.677004	0.4999951	9.237009	
0.0734	-0.07180835	4.677004	0.4999951	9.237009	
0.0736	-0.07188874	4.677004	0.4999951	9.237009	
0.0738	-0.07196893	4.691141	0.499995	8.683092	
0.074	-0.07204887	4.691141	0.499995	8.683092	
0.0742	-0.0721286	4.691141	0.499995	8.683092	
0.0744	-0.0722081	4.691141	0.499995	8.683092	
0.0746	-0.07228737	4.691141	0.499995	8.683092	
0.0748	-0.07236642	4.702617	0.4999949	8.168793	
0.075	-0.07244524	4.702617	0.4999949	8.168793	
0.0752	-0.07252384	4.702617	0.4999949	8.168793	
0.07539999	-0.07260222	4.702617	0.4999949	8.168793	
0.0756	-0.07268038	4.702617	0.4999949	8.168793	
0.0758	-0.07275831	4.711632	0.4999948	7.690893	
0.076	-0.07283602	4.711632	0.4999948	7.690893	
0.0762	-0.07291351	4.711632	0.4999948	7.690893	
0.0764	-0.07299078	4.711632	0.4999948	7.690893	
0.0766	-0.07306784	4.711632	0.4999948	7.690893	
0.0768	-0.07314467	4.718384	0.4999947	7.246465	
0.077	-0.07322128	4.718384	0.4999947	7.246465	
0.0772	-0.07329768	4.718384	0.4999947	7.246465	
0.0774	-0.07337385	4.718384	0.4999947	7.246465	
0.07759999	-0.07344981	4.718384	0.4999947	7.246465	
0.0778	-0.07352556	4.723025	0.4999947	6.832876	
0.078	-0.07360109	4.723025	0.4999947	6.832876	
0.0782	-0.0736764	4.723025	0.4999947	6.832876	
0.0784	-0.07375149	4.723025	0.4999947	6.832876	
0.0786	-0.07382638	4.723025	0.4999947	6.832876	
0.0788	-0.07390105	4.725712	0.4999946	6.44769	
0.079	-0.07397551	4.725712	0.4999946	6.44769	
0.0792	-0.07404976	4.725712	0.4999946	6.44769	
0.0794	-0.07412379	4.725712	0.4999946	6.44769	
0.0796	-0.07419762	4.725712	0.4999946	6.44769	
0.07979999	-0.07427122	4.726586	0.4999945	6.088695	
0.08	-0.07434463	4.726586	0.4999945	6.088695	
0.0802	-0.07441781	4.726586	0.4999945	6.088695	
0.0804	-0.0744908	4.726586	0.4999945	6.088695	
0.0806	-0.07456358	4.726586	0.4999945	6.088695	
0.0808	-0.07463615	4.725781	0.4999945	5.753849	
0.081	-0.07470851	4.725781	0.4999945	5.753849	
0.0812	-0.07478067	4.725781	0.4999945	5.753849	
0.0814	-0.07485262	4.725781	0.4999945	5.753849	
0.0816	-0.07492437	4.725781	0.4999945	5.753849	
0.0818	-0.07499591	4.723418	0.4999944	5.441317	
0.08199999	-0.07506724	4.723418	0.4999944	5.441317	
0.0822	-0.07513838	4.723418	0.4999944	5.441317	
0.0824	-0.07520931	4.723418	0.4999944	5.441317	
0.0826	-0.07528005	4.723418	0.4999944	5.441317	
0.0828	-0.07535057	4.71961	0.4999944	5.149365	
0.083	-0.0754209	4.71961	0.4999944	5.149365	
0.0832	-0.07549102	4.71961	0.4999944	5.149365	
