Time	MV	Tension	Length	A	
2.507	-0.07826679	5.696129	0.4999919	1.489267	
2.5072	-0.0783288	5.696129	0.4999919	1.489267	
2.5074	-0.07839063	5.696129	0.4999919	1.489267	
2.5076	-0.07845228	5.696129	0.4999919	1.489267	
2.5078	-0.07683094	5.667612	0.4999919	1.414767	
2.508	-0.07535875	5.667612	0.4999919	1.414767	
2.5082	-0.07402056	5.667612	0.4999919	1.414767	
2.5084	-0.07280304	5.667612	0.4999919	1.414767	
2.5086	-0.07169444	5.667612	0.4999919	1.414767	
2.5088	-0.0706844	5.638922	0.4999919	1.344675	
2.509	-0.06976368	5.638922	0.4999919	1.344675	
2.5092	-0.06892408	5.638922	0.4999919	1.344675	
2.5094	-0.06815831	5.638922	0.4999919	1.344675	
2.5096	-0.06745982	5.638922	0.4999919	1.344675	
2.5098	-0.06682277	5.623305	0.499992	3.923285	
2.51	-0.06624188	5.623305	0.499992	3.923285	
2.5102	-0.06571241	5.623305	0.499992	3.923285	
2.5104	-0.06523012	5.623305	0.499992	3.923285	
2.5106	-0.06479111	5.623305	0.499992	3.923285	
2.5108	-0.0643919	5.625633	0.499992	7.492696	
2.511	-0.06402933	5.625633	0.499992	7.492696	
2.5112	-0.06370048	5.625633	0.499992	7.492696	
2.5114	-0.06340275	5.625633	0.499992	7.492696	
2.5116	-0.06313373	5.625633	0.499992	7.492696	
2.5118	-0.06289124	5.646496	0.499992	11.2027	
2.512	-0.06267329	5.646496	0.499992	11.2027	
2.5122	-0.06247802	5.646496	0.499992	11.2027	
2.5124	-0.06230376	5.646496	0.499992	11.2027	
2.5126	-0.06214897	5.646496	0.499992	11.2027	
2.5128	-0.06201223	5.682975	0.499992	14.35487	
2.513	-0.06189222	5.682975	0.499992	14.35487	
2.5132	-0.06178774	5.682975	0.499992	14.35487	
2.5134	-0.06169769	5.682975	0.499992	14.35487	
2.5136	-0.06162103	5.682975	0.499992	14.35487	
2.5138	-0.06155682	5.730562	0.499992	16.62196	
2.514	-0.06150419	5.730562	0.499992	16.62196	
2.5142	-0.0614623	5.730562	0.499992	16.62196	
2.5144	-0.06143043	5.730562	0.499992	16.62196	
2.5146	-0.06140786	5.730562	0.499992	16.62196	
2.5148	-0.06139395	5.784628	0.499992	17.97751	
2.515	-0.06138811	5.784628	0.499992	17.97751	
2.5152	-0.06138976	5.784628	0.499992	17.97751	
2.5154	-0.0613984	5.784628	0.499992	17.97751	
2.5156	-0.06141354	5.784628	0.499992	17.97751	
2.5158	-0.06143473	5.841244	0.499992	18.55488	
2.516	-0.06146155	5.841244	0.499992	18.55488	
2.5162	-0.06149362	5.841244	0.499992	18.55488	
2.5164	-0.06153058	5.841244	0.499992	18.55488	
2.5166	-0.06157207	5.841244	0.499992	18.55488	
2.5168	-0.0616178	5.897428	0.499992	18.53927	
2.517	-0.06166746	5.897428	0.499992	18.53927	
2.5172	-0.06172078	5.897428	0.499992	18.53927	
2.5174	-0.06177751	5.897428	0.499992	18.53927	
2.5176	-0.06183741	5.897428	0.499992	18.53927	
2.5178	-0.06190026	5.951107	0.499992	18.10855	
2.518	-0.06196583	5.951107	0.499992	18.10855	
2.5182	-0.06203396	5.951107	0.499992	18.10855	
2.5184	-0.06210444	5.951107	0.499992	18.10855	
2.5186	-0.06217712	5.951107	0.499992	18.10855	
2.5188	-0.06225182	6.000924	0.499992	17.40938	
2.519	-0.06232841	6.000924	0.499992	17.40938	
2.5192	-0.06240674	6.000924	0.499992	17.40938	
2.5194	-0.06248669	6.000924	0.499992	17.40938	
2.5196	-0.06256813	6.000924	0.499992	17.40938	
2.5198	-0.06265095	6.046161	0.4999919	16.55257	
2.52	-0.06273504	6.046161	0.4999919	16.55257	
2.5202	-0.06282032	6.046161	0.4999919	16.55257	
2.5204	-0.06290668	6.046161	0.4999919	16.55257	
2.5206	-0.06299403	6.046161	0.4999919	16.55257	
2.5208	-0.06308229	6.086439	0.4999919	15.61722	
2.521	-0.06317139	6.086439	0.4999919	15.61722	
2.5212	-0.06326126	6.086439	0.4999919	15.61722	
2.5214	-0.06335182	6.086439	0.4999919	15.61722	
2.5216	-0.06344303	6.086439	0.4999919	15.61722	
2.5218	-0.06353481	6.121664	0.4999919	14.65708	
2.522	-0.06362712	6.121664	0.4999919	14.65708	
2.5222	-0.06371991	6.121664	0.4999919	14.65708	
2.5224	-0.06381312	6.121664	0.4999919	14.65708	
2.5226	-0.06390671	6.121664	0.4999919	14.65708	
2.5228	-0.06400064	6.15192	0.4999918	13.70729	
2.523	-0.06409487	6.15192	0.4999918	13.70729	
2.5232	-0.06418937	6.15192	0.4999918	13.70729	
2.5234	-0.06428409	6.15192	0.4999918	13.70729	
2.5236	-0.06437902	6.15192	0.4999918	13.70729	
2.5238	-0.06447411	6.177399	0.4999918	12.78958	
2.524	-0.06456935	6.177399	0.4999918	12.78958	
2.5242	-0.06466469	6.177399	0.4999918	12.78958	
2.5244	-0.06476012	6.177399	0.4999918	12.78958	
2.5246	-0.06485561	6.177399	0.4999918	12.78958	
2.5248	-0.06495116	6.198353	0.4999918	11.9166	
2.525	-0.06504672	6.198353	0.4999918	11.9166	
2.5252	-0.0651423	6.198353	0.4999918	11.9166	
2.5254	-0.06523786	6.198353	0.4999918	11.9166	
2.5256	-0.0653334	6.198353	0.4999918	11.9166	
2.5258	-0.06542888	6.215067	0.4999917	11.09479	
2.526	-0.06552432	6.215067	0.4999917	11.09479	
2.5262	-0.06561969	6.215067	0.4999917	11.09479	
2.5264	-0.06571496	6.215067	0.4999917	11.09479	
