Time	AVm	BVm	1Vm	2Vm	1Ia	BIa	2FF	1FF	
0.2971	-0.04157003	-0.09603378	-0.03075021	-0.02943336	5.818997E-09	4.056664E-09	0.2028332	0.1177494	
0.2972	-0.04155003	-0.09603199	-0.03075021	-0.02943336	5.818997E-09	4.056664E-09	0.2028332	0.1177494	
0.2973	-0.04153003	-0.09603024	-0.03075021	-0.02943336	5.818997E-09	4.056664E-09	0.2028332	0.1177494	
0.2974	-0.04151003	-0.09602851	-0.03075021	-0.02943336	5.818997E-09	4.056664E-09	0.2028332	0.1177494	
0.2975	-0.04149003	-0.09602682	-0.03075021	-0.02943336	5.818997E-09	4.056664E-09	0.2028332	0.1177494	
0.2976	-0.04147003	-0.09602517	-0.03075021	-0.02943336	5.818997E-09	4.056664E-09	0.2028332	0.1177494	
0.2977	-0.04145003	-0.09602355	-0.03075021	-0.02943336	5.818997E-09	4.056664E-09	0.2028332	0.1177494	
0.2978	-0.04143003	-0.09602197	-0.03075021	-0.02943336	5.818997E-09	4.056664E-09	0.2028332	0.1177494	
0.2979	-0.04141003	-0.09602041	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.298	-0.04139003	-0.09601813	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2981	-0.04137003	-0.09601589	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2982	-0.04135003	-0.0960137	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2983	-0.04133003	-0.09601156	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2984	-0.04131003	-0.09600946	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2985	-0.04129003	-0.09600739	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2986	-0.04127003	-0.09600537	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2987	-0.04125003	-0.09600339	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2988	-0.04123003	-0.09600144	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2989	-0.04121003	-0.09599954	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.299	-0.04119003	-0.09599768	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2991	-0.04117003	-0.09599584	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2992	-0.04115003	-0.09599405	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2993	-0.04113003	-0.0959923	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2994	-0.04111003	-0.09599057	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2995	-0.04109003	-0.09598888	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
0.2996	-0.04107003	-0.09598723	-0.03037141	-0.0290531	5.858997E-09	4.09469E-09	0.2047345	0.1188858	
