Time	OdorSensor	Mouth	Eat	Food_Near	Energy	
0.1104	8854.729	0.001469638	0.2939276	0.6641015	10148.52	
0.1108	8854.224	0.001469638	0.2939276	0.6641015	10149.97	
0.1112	8853.717	0.001469638	0.2939276	0.6641015	10151.42	
0.1116	8853.204	0.001469638	0.3013311	0.6708195	10152.87	
0.112	8852.685	0.001506655	0.3013311	0.6708195	10154.32	
0.1124	8852.16	0.001506655	0.3013311	0.6708195	10155.8	
0.1128	8851.629	0.001506655	0.3013311	0.6708195	10157.29	
0.1132	8851.093	0.001506655	0.3013311	0.6708195	10158.78	
0.1136	8850.547	0.001506655	0.3087209	0.6774032	10160.27	
0.114	8850.003	0.001543604	0.3087209	0.6774032	10161.75	
0.1144	8849.45	0.001543604	0.3087209	0.6774032	10163.28	
0.1148	8848.891	0.001543604	0.3087209	0.6774032	10164.8	
0.1152	8848.327	0.001543604	0.3087209	0.6774032	10166.33	
0.1156	8847.758	0.001543604	0.3160945	0.6838551	10167.85	
0.116	8847.182	0.001580472	0.3160945	0.6838551	10169.38	
0.1164	8846.598	0.001580472	0.3160945	0.6838551	10170.94	
0.1168	8846.009	0.001580472	0.3160945	0.6838551	10172.5	
0.1172	8845.412	0.001580472	0.3160945	0.6838551	10174.06	
0.1176	8844.812	0.001580472	0.3234497	0.690178	10175.62	
0.118	8844.203	0.001617249	0.3234497	0.690178	10177.18	
0.1184	8843.59	0.001617249	0.3234497	0.690178	10178.78	
0.1188	8842.973	0.001617249	0.3234497	0.690178	10180.37	
0.1192	8842.349	0.001617249	0.3234497	0.690178	10181.97	
0.1196	8841.718	0.001617249	0.3307843	0.6963744	10183.57	
0.12	8841.083	0.001653921	0.3307843	0.6963744	10185.17	
0.1204	8840.439	0.001653921	0.3307843	0.6963744	10186.8	
0.1208	8839.789	0.001653921	0.3307843	0.6963744	10188.44	
0.1212	8839.134	0.001653921	0.3307843	0.6963744	10190.07	
0.1216	8838.472	0.001653921	0.3380961	0.7024469	10191.71	
0.122	8837.803	0.00169048	0.3380961	0.7024469	10193.34	
0.1224	8837.13	0.00169048	0.3380961	0.7024469	10195.01	
0.1228	8836.447	0.00169048	0.3380961	0.7024469	10196.68	
0.1232	8835.76	0.00169048	0.3380961	0.7024469	10198.35	
0.1236	8835.067	0.00169048	0.3453831	0.708398	10200.02	
0.124	8834.363	0.001726915	0.3453831	0.708398	10201.69	
0.1244	8833.657	0.001726915	0.3453831	0.708398	10203.4	
0.1248	8832.942	0.001726915	0.3453831	0.708398	10205.11	
0.1252	8832.22	0.001726915	0.3453831	0.708398	10206.82	
0.1256	8831.489	0.001726915	0.3526434	0.71423	10208.52	
0.126	8830.752	0.001763217	0.3526434	0.71423	10210.23	
0.1264	8830.009	0.001763217	0.3526434	0.71423	10211.97	
0.1268	8829.258	0.001763217	0.3526434	0.71423	10213.72	
0.1272	8828.503	0.001763217	0.3526434	0.71423	10215.46	
0.1276	8827.739	0.001763217	0.3598751	0.7199454	10217.21	
0.128	8826.968	0.001799376	0.3598751	0.7199454	10218.95	
0.1284	8826.191	0.001799376	0.3598751	0.7199454	10220.73	
