Time	MV	Muscle2	Len	
0.0426	-0.06607509	1.674072	-0.04839975	
0.0428	-0.06553091	1.72041	-0.04839686	
0.043	-0.06503522	1.72041	-0.04839226	
0.0432	-0.064584	1.72041	-0.04838784	
0.0434	-0.06417366	1.72041	-0.04838359	
0.0436	-0.06380091	1.72041	-0.04837952	
0.0438	-0.06346279	1.807104	-0.0483756	
0.044	-0.06315657	1.807104	-0.04836844	
0.0442	-0.0628798	1.807104	-0.04836155	
0.0444	-0.06263022	1.807104	-0.04835494	
0.0446	-0.06240577	1.807104	-0.04834858	
0.0448	-0.06220457	1.932049	-0.04834248	
0.045	-0.06202489	1.932049	-0.04833172	
0.0452	-0.06186514	1.932049	-0.04832137	
0.0454	-0.06172387	1.932049	-0.04831143	
0.0456	-0.06159972	1.932049	-0.04830189	
0.0458	-0.06149147	2.086999	-0.04829271	
0.046	-0.06139797	2.086999	-0.04827783	
0.0462	-0.06131818	2.086999	-0.04826352	
0.0464	-0.06125111	2.086999	-0.04824977	
0.0466	-0.06119588	2.086999	-0.04823657	
0.0468	-0.06115165	2.261721	-0.04822388	
0.047	-0.06111765	2.261721	-0.04820484	
0.0472	-0.06109316	2.261721	-0.04818655	
0.0474	-0.06107752	2.261721	-0.04816897	
0.0476	-0.06107013	2.261721	-0.04815208	
0.0478	-0.0610704	2.44662	-0.04813586	
0.048	-0.06107781	2.44662	-0.04811302	
0.0482	-0.06109187	2.44662	-0.04809108	
0.0484	-0.0611121	2.44662	-0.04806999	
0.0486	-0.0611381	2.44662	-0.04804974	
0.0488	-0.06116946	2.634027	-0.04803027	
0.049	-0.0612058	2.634027	-0.04800422	
0.0492	-0.06124679	2.634027	-0.0479792	
0.0494	-0.06129211	2.634027	-0.04795516	
0.0496	-0.06134144	2.634027	-0.04793205	
0.0498	-0.06139452	2.818282	-0.04790986	
0.05	-0.06145108	2.818282	-0.04788131	
0.0502	-0.06151088	2.818282	-0.04785388	
0.0504	-0.06157368	2.818282	-0.04782752	
0.0506	-0.06163929	2.818282	-0.0478022	
0.0508	-0.0617075	2.995541	-0.04777787	
0.051	-0.06177811	2.995541	-0.04774754	
0.0512	-0.06185097	2.995541	-0.04771841	
0.0514	-0.0619259	2.995541	-0.04769041	
0.0516	-0.06200277	2.995541	-0.04766351	
0.0518	-0.06208141	3.163482	-0.04763767	
0.052	-0.06216171	3.163482	-0.04760626	
0.0522	-0.06224354	3.163482	-0.04757608	
0.0524	-0.06232678	3.163482	-0.04754708	
0.0526	-0.06241133	3.163482	-0.04751921	
0.0528	-0.06249708	3.320784	-0.04749245	
0.053	-0.06258393	3.320784	-0.04746056	
0.0532	-0.06267181	3.320784	-0.04742992	
0.0534	-0.06276062	3.320784	-0.04740049	
0.0536	-0.0628503	3.320784	-0.04737221	
0.0538	-0.06294076	3.466873	-0.04734503	
0.054	-0.06303193	3.466873	-0.0473132	
0.0542	-0.06312377	3.466873	-0.04728261	
0.0544	-0.06321619	3.466873	-0.04725323	
0.0546	-0.06330916	3.466873	-0.04722499	
0.0548	-0.06340262	3.601692	-0.04719786	
0.055	-0.06349652	3.601692	-0.04716651	
0.0552	-0.0635908	3.601692	-0.04713639	
0.0554	-0.06368544	3.601692	-0.04710745	
0.0556	-0.06378039	3.601692	-0.04707965	
0.0558	-0.06387562	3.725533	-0.04705293	
0.056	-0.06397107	3.725533	-0.0470224	
0.0562	-0.06406675	3.725533	-0.04699308	
0.0564	-0.06416258	3.725533	-0.0469649	
0.0566	-0.06425858	3.725533	-0.04693783	
0.0568	-0.06435468	3.838839	-0.04691182	
0.057	-0.06445088	3.838839	-0.04688238	
0.0572	-0.06454715	3.838839	-0.0468541	
0.0574	-0.06464347	3.838839	-0.04682693	
0.0576	-0.06473982	3.838839	-0.04680083	
0.0578	-0.06483618	3.942174	-0.04677575	
0.058	-0.06493253	3.942174	-0.0467476	
0.0582	-0.06502885	3.942174	-0.04672055	
0.0584	-0.06512514	3.942174	-0.04669457	
0.0586	-0.06522137	3.942174	-0.0466696	
0.0588	-0.06531753	4.036159	-0.04664561	
0.059	-0.06541362	4.036159	-0.04661888	
0.0592	-0.0655096	4.036159	-0.04659319	
0.0594	-0.06560548	4.036159	-0.04656852	
0.0596	-0.06570125	4.036159	-0.04654481	
0.0598	-0.06579689	4.121439	-0.04652203	
0.06	-0.0658924	4.121439	-0.0464968	
0.0602	-0.06598777	4.121439	-0.04647255	
0.0604	-0.06608298	4.121439	-0.04644926	
0.0606	-0.06617804	4.121439	-0.04642688	
0.0608	-0.06627294	4.198607	-0.04640538	
0.061	-0.06636766	4.198607	-0.0463817	
0.0612	-0.0664622	4.198607	-0.04635895	
0.0614	-0.06655657	4.198607	-0.04633709	
0.0616	-0.06665076	4.198607	-0.04631608	
0.0618	-0.06674475	4.268292	-0.0462959	
0.062	-0.06683855	4.268292	-0.04627378	
0.0622	-0.06693214	4.268292	-0.04625253	
0.0624	-0.06702553	4.268292	-0.0462321	
0.0626	-0.06711872	4.268292	-0.04621249	
0.0628	-0.0672117	4.331045	-0.04619363	
0.063	-0.06730446	4.331045	-0.04617306	
0.0632	-0.06739701	4.331045	-0.04615329	
0.0634	-0.06748933	4.331045	-0.0461343	
0.0636	-0.06758144	4.331045	-0.04611606	
0.0638	-0.06767333	4.387398	-0.04609853	
0.064	-0.067765	4.387398	-0.04607947	
0.0642	-0.06785644	4.387398	-0.04606117	
0.06439999	-0.06794765	4.387398	-0.04604357	
0.0646	-0.06803863	4.387398	-0.04602668	
0.0648	-0.06812938	4.437846	-0.04601044	
0.065	-0.0682199	4.437846	-0.04599286	
0.0652	-0.06831019	4.437846	-0.04597598	
0.0654	-0.06840024	4.437846	-0.04595975	
0.0656	-0.06849006	4.437846	-0.04594416	
0.0658	-0.06857964	4.482847	-0.04592917	
0.066	-0.06866899	4.482847	-0.04591302	
0.0662	-0.0687581	4.482847	-0.0458975	
0.0664	-0.06884698	4.482847	-0.04588258	
0.06659999	-0.06893562	4.482847	-0.04586826	
0.0668	-0.06902402	4.522824	-0.04585449	
0.067	-0.06911218	4.522824	-0.04583969	
0.0672	-0.06920011	4.522824	-0.04582548	
0.0674	-0.06928779	4.522824	-0.04581182	
0.0676	-0.06937524	4.522824	-0.0457987	
0.0678	-0.06946245	4.558166	-0.04578609	
0.068	-0.06954943	4.558166	-0.0457726	
0.0682	-0.06963615	4.558166	-0.04575963	
0.0684	-0.06972264	4.558166	-0.04574717	
0.0686	-0.06980891	4.558166	-0.0457352	
0.06879999	-0.06989492	4.589246	-0.0457237	
0.069	-0.06998071	4.589246	-0.04571142	
0.0692	-0.07006625	4.589246	-0.04569964	
