Time	MV	Muscle2	
5.5826	-0.07549588	13.15371	
5.5828	-0.07556579	13.10006	
5.583	-0.0756355	13.10006	
5.5832	-0.07570501	13.10006	
5.5834	-0.07577432	13.10006	
5.5836	-0.07584344	13.10006	
5.5838	-0.07591236	13.04547	
5.584	-0.07598108	13.04547	
5.5842	-0.0760496	13.04547	
5.5844	-0.07611793	13.04547	
5.5846	-0.07618608	13.04547	
5.5848	-0.07625401	12.98996	
5.585	-0.07632177	12.98996	
5.5852	-0.07638932	12.98996	
5.5854	-0.07645668	12.98996	
5.5856	-0.07652385	12.98996	
5.5858	-0.07659083	12.93367	
5.586	-0.07665762	12.93367	
5.5862	-0.07672422	12.93367	
5.5864	-0.07679062	12.93367	
5.5866	-0.07685684	12.93367	
5.5868	-0.07692287	12.87671	
5.587	-0.07698872	12.87671	
5.5872	-0.07705437	12.87671	
5.5874	-0.07711983	12.87671	
5.5876	-0.07718511	12.87671	
5.5878	-0.0772502	12.8191	
5.588	-0.07731511	12.8191	
5.5882	-0.07737983	12.8191	
5.5884	-0.07744437	12.8191	
5.5886	-0.07750872	12.8191	
5.5888	-0.07757289	12.76088	
5.589	-0.07763688	12.76088	
5.5892	-0.07770068	12.76088	
5.5894	-0.0777643	12.76088	
5.5896	-0.07782774	12.76088	
5.5898	-0.07789101	12.70214	
5.59	-0.07795408	12.70214	
5.5902	-0.07801698	12.70214	
5.5904	-0.07807971	12.70214	
5.5906	-0.07814224	12.70214	
5.5908	-0.0782046	12.64296	
5.591	-0.07826679	12.64296	
5.5912	-0.0783288	12.64296	
5.5914	-0.07839063	12.64296	
5.5916	-0.07845228	12.64296	
5.5918	-0.07683094	12.58331	
5.592	-0.07535875	12.58331	
5.5922	-0.07402056	12.58331	
5.5924	-0.07280304	12.58331	
5.5926	-0.07169444	12.58331	
5.5928	-0.0706844	12.52336	
5.593	-0.06976368	12.52336	
5.5932	-0.06892408	12.52336	
5.5934	-0.06815831	12.52336	
5.5936	-0.06745982	12.52336	
5.5938	-0.06682277	12.49075	
5.594	-0.06624188	12.49075	
5.5942	-0.06571241	12.49075	
5.5944	-0.06523012	12.49075	
5.5946	-0.06479111	12.49075	
5.5948	-0.0643919	12.49553	
5.595	-0.06402933	12.49553	
5.5952	-0.06370048	12.49553	
5.5954	-0.06340275	12.49553	
5.5956	-0.06313373	12.49553	
5.5958	-0.06289124	12.53857	
5.596	-0.06267329	12.53857	
5.5962	-0.06247802	12.53857	
5.5964	-0.06230376	12.53857	
5.5966	-0.06214897	12.53857	
5.5968	-0.06201223	12.61367	
5.597	-0.06189222	12.61367	
5.5972	-0.06178774	12.61367	
5.5974	-0.06169769	12.61367	
5.5976	-0.06162103	12.61367	
5.5978	-0.06155682	12.71138	
5.598	-0.06150419	12.71138	
5.5982	-0.0614623	12.71138	
5.5984	-0.06143043	12.71138	
5.5986	-0.06140786	12.71138	
5.5988	-0.06139395	12.82223	
5.599	-0.06138811	12.82223	
5.5992	-0.06138976	12.82223	
5.5994	-0.0613984	12.82223	
5.5996	-0.06141354	12.82223	
5.5998	-0.06143473	12.93823	
5.6	-0.06146155	12.93823	
5.6002	-0.06149362	12.93823	
5.6004	-0.06153058	12.93823	
5.6006	-0.06157207	12.93823	
5.6008	-0.0616178	13.05335	
5.601	-0.06166746	13.05335	
5.6012	-0.06172078	13.05335	
5.6014	-0.06177751	13.05335	
5.6016	-0.06183741	13.05335	
5.6018	-0.06190026	13.16339	
5.602	-0.06196583	13.16339	
5.6022	-0.06203396	13.16339	
5.6024	-0.06210444	13.16339	
5.6026	-0.06217712	13.16339	
5.6028	-0.06225182	13.26565	
5.603	-0.06232841	13.26565	
5.6032	-0.06240674	13.26565	
5.6034	-0.06248669	13.26565	
5.6036	-0.06256813	13.26565	
5.6038	-0.06265095	13.35857	
5.604	-0.06273504	13.35857	
5.6042	-0.06282032	13.35857	
5.6044	-0.06290668	13.35857	
5.6046	-0.06299403	13.35857	
5.6048	-0.06308229	13.4414	
5.605	-0.06317139	13.4414	
5.6052	-0.06326126	13.4414	
5.6054	-0.06335182	13.4414	
5.6056	-0.06344303	13.4414	
5.6058	-0.06353481	13.51383	
5.606	-0.06362712	13.51383	
5.6062	-0.06371991	13.51383	
5.6064	-0.06381312	13.51383	
5.6066	-0.06390671	13.51383	
5.6068	-0.06400064	13.57616	
5.607	-0.06409487	13.57616	
5.6072	-0.06418937	13.57616	
5.6074	-0.06428409	13.57616	
5.6076	-0.06437902	13.57616	
5.6078	-0.06447411	13.62871	
5.608	-0.06456935	13.62871	
5.6082	-0.06466469	13.62871	
5.6084	-0.06476012	13.62871	
5.6086	-0.06485561	13.62871	
5.6088	-0.06495116	13.67197	
5.609	-0.06504672	13.67197	
5.6092	-0.0651423	13.67197	
5.6094	-0.06523786	13.67197	
5.6096	-0.0653334	13.67197	
5.6098	-0.06542888	13.70654	
5.61	-0.06552432	13.70654	
5.6102	-0.06561969	13.70654	
5.6104	-0.06571496	13.70654	
5.6106	-0.06581015	13.70654	
5.6108	-0.06590523	13.73299	
5.611	-0.06600019	13.73299	
5.6112	-0.06609503	13.73299	
5.6114	-0.06618973	13.73299	
5.6116	-0.06628428	13.73299	
5.6118	-0.06637869	13.75185	
5.612	-0.06647295	13.75185	
5.6122	-0.06656703	13.75185	
5.6124	-0.06666095	13.75185	
5.6126	-0.06675469	13.75185	
5.6128	-0.06684825	13.7638	
5.613	-0.06694163	13.7638	
5.6132	-0.06703482	13.7638	
5.6134	-0.06712782	13.7638	
5.6136	-0.06722061	13.7638	
5.6138	-0.0673132	13.7693	
5.614	-0.06740559	13.7693	
5.6142	-0.06749776	13.7693	
5.6144	-0.06758972	13.7693	
5.6146	-0.06768148	13.7693	
5.6148	-0.06777301	13.7689	
5.615	-0.06786433	13.7689	
5.6152	-0.06795541	13.7689	
5.6154	-0.06804629	13.7689	
5.6156	-0.06813693	13.7689	
5.6158	-0.06822736	13.763	
5.616	-0.06831755	13.763	
5.6162	-0.06840751	13.763	
