Time	MV	Tension	Muscle2	Length	A	
4.3252	-0.06561969	13.11599	0.01909934	0.9471911	23.33855	
4.3254	-0.06571496	13.11599	0.01909934	0.9471911	23.33855	
4.3256	-0.06581015	13.11599	0.01909934	0.9471911	23.33855	
4.3258	-0.06590523	13.14289	0.0190994	0.9471911	21.75099	
4.326	-0.06600019	13.14289	0.0190994	0.9471911	21.75099	
4.3262	-0.06609503	13.14289	0.0190994	0.9471911	21.75099	
4.3264	-0.06618973	13.14289	0.0190994	0.9471911	21.75099	
4.3266	-0.06628428	13.14289	0.0190994	0.9471911	21.75099	
4.3268	-0.06637869	13.16222	0.01909946	0.9471911	20.27166	
4.327	-0.06647295	13.16222	0.01909946	0.9471911	20.27166	
4.3272	-0.06656703	13.16222	0.01909946	0.9471911	20.27166	
4.3274	-0.06666095	13.16222	0.01909946	0.9471911	20.27166	
4.3276	-0.06675469	13.16222	0.01909946	0.9471911	20.27166	
4.3278	-0.06684825	13.17454	0.01906968	0.9471911	18.89774	
4.328	-0.06694163	13.17454	0.01906968	0.9471911	18.89774	
4.3282	-0.06703482	13.17454	0.01906968	0.9471911	18.89774	
4.3284	-0.06712782	13.17454	0.01906968	0.9471911	18.89774	
4.3286	-0.06722061	13.17454	0.01906968	0.9471911	18.89774	
4.3288	-0.0673132	13.18041	0.01904006	0.947191	17.62441	
4.329	-0.06740559	13.18041	0.01904006	0.947191	17.62441	
4.3292	-0.06749776	13.18041	0.01904006	0.947191	17.62441	
4.3294	-0.06758972	13.18041	0.01904006	0.947191	17.62441	
4.3296	-0.06768148	13.18041	0.01904006	0.947191	17.62441	
4.3298	-0.06777301	13.18032	0.01898073	0.9471909	16.44581	
4.33	-0.06786433	13.18032	0.01898073	0.9471909	16.44581	
4.3302	-0.06795541	13.18032	0.01898073	0.9471909	16.44581	
4.3304	-0.06804629	13.18032	0.01898073	0.9471909	16.44581	
4.3306	-0.06813693	13.18032	0.01898073	0.9471909	16.44581	
4.3308	-0.06822736	13.17478	0.01892171	0.9471908	15.35579	
4.331	-0.06831755	13.17478	0.01892171	0.9471908	15.35579	
4.3312	-0.06840751	13.17478	0.01892171	0.9471908	15.35579	
4.3314	-0.06849726	13.17478	0.01892171	0.9471908	15.35579	
4.3316	-0.06858676	13.17478	0.01892171	0.9471908	15.35579	
4.3318	-0.06867603	13.1643	0.01892266	0.9471908	14.34797	
4.332	-0.06876507	13.1643	0.01892266	0.9471908	14.34797	
4.3322	-0.06885388	13.1643	0.01892266	0.9471908	14.34797	
4.3324	-0.06894246	13.1643	0.01892266	0.9471908	14.34797	
4.3326	-0.0690308	13.1643	0.01892266	0.9471908	14.34797	
4.3328	-0.0691189	13.14922	0.0189236	0.9471908	13.4161	
4.333	-0.06920677	13.14922	0.0189236	0.9471908	13.4161	
4.3332	-0.0692944	13.14922	0.0189236	0.9471908	13.4161	
4.3334	-0.0693818	13.14922	0.0189236	0.9471908	13.4161	
4.3336	-0.06946895	13.14922	0.0189236	0.9471908	13.4161	
4.3338	-0.06955588	13.12993	0.01892454	0.9471908	12.55431	
4.334	-0.06964257	13.12993	0.01892454	0.9471908	12.55431	
4.3342	-0.06972902	13.12993	0.01892454	0.9471908	12.55431	
4.3344	-0.06981523	13.12993	0.01892454	0.9471908	12.55431	
4.3346	-0.06990121	13.12993	0.01892454	0.9471908	12.55431	
4.3348	-0.06998695	13.10677	0.01892547	0.9471908	11.75706	
4.335	-0.07007245	13.10677	0.01892547	0.9471908	11.75706	
4.3352	-0.07015771	13.10677	0.01892547	0.9471908	11.75706	
4.3354	-0.07024276	13.10677	0.01892547	0.9471908	11.75706	
4.3356	-0.07032754	13.10677	0.01892547	0.9471908	11.75706	
4.3358	-0.07041211	13.08007	0.01892639	0.9471908	11.0191	
4.336	-0.07049644	13.08007	0.01892639	0.9471908	11.0191	
4.3362	-0.07058053	13.08007	0.01892639	0.9471908	11.0191	
4.3364	-0.07066438	13.08007	0.01892639	0.9471908	11.0191	
4.3366	-0.07074801	13.08007	0.01892639	0.9471908	11.0191	
4.3368	-0.0708314	13.05012	0.01892731	0.9471908	10.33566	
4.337	-0.07091455	13.05012	0.01892731	0.9471908	10.33566	
4.3372	-0.07099748	13.05012	0.01892731	0.9471908	10.33566	
4.3374	-0.07108016	13.05012	0.01892731	0.9471908	10.33566	
4.3376	-0.07116262	13.05012	0.01892731	0.9471908	10.33566	
4.3378	-0.07124484	13.01719	0.01892823	0.9471908	9.702264	
4.338	-0.07132684	13.01719	0.01892823	0.9471908	9.702264	
4.3382	-0.0714086	13.01719	0.01892823	0.9471908	9.702264	
4.3384	-0.07149014	13.01719	0.01892823	0.9471908	9.702264	
4.3386	-0.07157144	13.01719	0.01892823	0.9471908	9.702264	
4.3388	-0.07165251	12.98152	0.01892913	0.9471908	9.114889	
4.339	-0.07173336	12.98152	0.01892913	0.9471908	9.114889	
4.3392	-0.07181396	12.98152	0.01892913	0.9471908	9.114889	
4.3394	-0.07189435	12.98152	0.01892913	0.9471908	9.114889	
4.3396	-0.07197451	12.98152	0.01892913	0.9471908	9.114889	
4.3398	-0.07205445	12.94336	0.01893003	0.9471908	8.569781	
4.34	-0.07213414	12.94336	0.01893003	0.9471908	8.569781	
4.3402	-0.07221363	12.94336	0.01893003	0.9471908	8.569781	
4.3404	-0.07229289	12.94336	0.01893003	0.9471908	8.569781	
4.3406	-0.07237191	12.94336	0.01893003	0.9471908	8.569781	
4.3408	-0.07245072	12.9029	0.01893093	0.9471908	8.063557	
4.341	-0.0725293	12.9029	0.01893093	0.9471908	8.063557	
4.3412	-0.07260767	12.9029	0.01893093	0.9471908	8.063557	
4.3414	-0.07268581	12.9029	0.01893093	0.9471908	8.063557	
4.3416	-0.07276372	12.9029	0.01893093	0.9471908	8.063557	
4.3418	-0.07284141	12.86034	0.01893182	0.9471908	7.593066	
4.342	-0.07291889	12.86034	0.01893182	0.9471908	7.593066	
4.3422	-0.07299615	12.86034	0.01893182	0.9471908	7.593066	
4.3424	-0.07307318	12.86034	0.01893182	0.9471908	7.593066	
4.3426	-0.07314999	12.86034	0.01893182	0.9471908	7.593066	
4.3428	-0.07322659	12.81583	0.01890287	0.9471907	7.155466	
4.343	-0.07330297	12.81583	0.01890287	0.9471907	7.155466	
4.3432	-0.07337914	12.81583	0.01890287	0.9471907	7.155466	
4.3434	-0.07345508	12.81583	0.01890287	0.9471907	7.155466	
4.3436	-0.07353081	12.81583	0.01890287	0.9471907	7.155466	
4.3438	-0.07360632	12.76965	0.01896358	0.9471908	6.748156	
4.344	-0.07368162	12.76965	0.01896358	0.9471908	6.748156	
4.3442	-0.0737567	12.76965	0.01896358	0.9471908	6.748156	
4.3444	-0.07383157	12.76965	0.01896358	0.9471908	6.748156	
4.3446	-0.07390622	12.76965	0.01896358	0.9471908	6.748156	
4.3448	-0.07398066	12.7218	0.0189643	0.9471908	6.368755	
4.345	-0.0740549	12.7218	0.0189643	0.9471908	6.368755	
4.3452	-0.07412891	12.7218	0.0189643	0.9471908	6.368755	
4.3454	-0.07420272	12.7218	0.0189643	0.9471908	6.368755	
4.3456	-0.07427632	12.7218	0.0189643	0.9471908	6.368755	
4.3458	-0.07434971	12.67248	0.01896502	0.9471908	6.015097	
4.346	-0.07442289	12.67248	0.01896502	0.9471908	6.015097	
4.3462	-0.07449586	12.67248	0.01896502	0.9471908	6.015097	
4.3464	-0.07456862	12.67248	0.01896502	0.9471908	6.015097	
4.3466	-0.07464118	12.67248	0.01896502	0.9471908	6.015097	
4.3468	-0.07471352	12.62183	0.01896573	0.9471908	5.685179	
4.347	-0.07478566	12.62183	0.01896573	0.9471908	5.685179	
4.3472	-0.07485761	12.62183	0.01896573	0.9471908	5.685179	
4.3474	-0.07492933	12.62183	0.01896573	0.9471908	5.685179	
4.3476	-0.07500086	12.62183	0.01896573	0.9471908	5.685179	
4.3478	-0.07507219	12.56995	0.01896645	0.9471908	5.377181	
4.348	-0.07514331	12.56995	0.01896645	0.9471908	5.377181	
4.3482	-0.07521422	12.56995	0.01896645	0.9471908	5.377181	
4.3484	-0.07528494	12.56995	0.01896645	0.9471908	5.377181	
4.3486	-0.07535546	12.56995	0.01896645	0.9471908	5.377181	
4.3488	-0.07542577	12.51698	0.01899699	0.9471909	5.089435	
4.349	-0.07549588	12.51698	0.01899699	0.9471909	5.089435	
4.3492	-0.07556579	12.51698	0.01899699	0.9471909	5.089435	
4.3494	-0.0756355	12.51698	0.01899699	0.9471909	5.089435	
4.3496	-0.07570501	12.51698	0.01899699	0.9471909	5.089435	
4.3498	-0.07577432	12.46303	0.01905722	0.947191	4.820411	
4.35	-0.07584344	12.46303	0.01905722	0.947191	4.820411	
4.3502	-0.07591236	12.46303	0.01905722	0.947191	4.820411	
4.3504	-0.07598108	12.46303	0.01905722	0.947191	4.820411	
4.3506	-0.0760496	12.46303	0.01905722	0.947191	4.820411	
4.3508	-0.07611793	12.4081	0.01905748	0.947191	4.568723	
4.351	-0.07618608	12.4081	0.01905748	0.947191	4.568723	
4.3512	-0.07625401	12.4081	0.01905748	0.947191	4.568723	
4.3514	-0.07632177	12.4081	0.01905748	0.947191	4.568723	
4.3516	-0.07638932	12.4081	0.01905748	0.947191	4.568723	
4.3518	-0.07645668	12.35233	0.01905772	0.947191	4.333076	
4.352	-0.07652385	12.35233	0.01905772	0.947191	4.333076	
4.3522	-0.07659083	12.35233	0.01905772	0.947191	4.333076	
4.3524	-0.07665762	12.35233	0.01905772	0.947191	4.333076	
4.3526	-0.07672422	12.35233	0.01905772	0.947191	4.333076	
4.3528	-0.07679062	12.29587	0.01911765	0.9471911	4.112286	
4.353	-0.07685684	12.29587	0.01911765	0.9471911	4.112286	
4.3532	-0.07692287	12.29587	0.01911765	0.9471911	4.112286	
4.3534	-0.07698872	12.29587	0.01911765	0.9471911	4.112286	
4.3536	-0.07705437	12.29587	0.01911765	0.9471911	4.112286	
4.3538	-0.07711983	12.23867	0.0191176	0.9471911	3.905279	
4.354	-0.07718511	12.23867	0.0191176	0.9471911	3.905279	
4.3542	-0.0772502	12.23867	0.0191176	0.9471911	3.905279	
4.3544	-0.07731511	12.23867	0.0191176	0.9471911	3.905279	
4.3546	-0.07737983	12.23867	0.0191176	0.9471911	3.905279	
4.3548	-0.07744437	12.18085	0.01911755	0.9471911	3.71106	
4.355	-0.07750872	12.18085	0.01911755	0.9471911	3.71106	
4.3552	-0.07757289	12.18085	0.01911755	0.9471911	3.71106	
4.3554	-0.07763688	12.18085	0.01911755	0.9471911	3.71106	
4.3556	-0.07770068	12.18085	0.01911755	0.9471911	3.71106	
4.3558	-0.0777643	12.12254	0.01917717	0.9471912	3.528714	
4.356	-0.07782774	12.12254	0.01917717	0.9471912	3.528714	
4.3562	-0.07789101	12.12254	0.01917717	0.9471912	3.528714	
4.3564	-0.07795408	12.12254	0.01917717	0.9471912	3.528714	
4.3566	-0.07801698	12.12254	0.01917717	0.9471912	3.528714	
4.3568	-0.07807971	12.06368	0.01917682	0.9471912	3.357397	
4.357	-0.07814224	12.06368	0.01917682	0.9471912	3.357397	
4.3572	-0.0782046	12.06368	0.01917682	0.9471912	3.357397	
4.3574	-0.07826678	12.06368	0.01917682	0.9471912	3.357397	
4.3576	-0.07832879	12.06368	0.01917682	0.9471912	3.357397	
4.3578	-0.07839062	12.00445	0.01923615	0.9471914	3.196338	
4.358	-0.07845227	12.00445	0.01923615	0.9471914	3.196338	
4.3582	-0.07683093	12.00445	0.01923615	0.9471914	3.196338	
4.3584	-0.07535873	12.00445	0.01923615	0.9471914	3.196338	
4.3586	-0.07402053	12.00445	0.01923615	0.9471914	3.196338	
4.3588	-0.07280301	11.94476	0.01923551	0.9471914	3.044827	
4.359	-0.07169443	11.94476	0.01923551	0.9471914	3.044827	
4.3592	-0.07068438	11.94476	0.01923551	0.9471914	3.044827	
4.3594	-0.06976365	11.94476	0.01923551	0.9471914	3.044827	
4.3596	-0.06892407	11.94476	0.01923551	0.9471914	3.044827	
4.3598	-0.0681583	11.89981	0.01926471	0.9471914	5.911254	
4.36	-0.06745981	11.89981	0.01926471	0.9471914	5.911254	
4.3602	-0.06682275	11.89981	0.01926471	0.9471914	5.911254	
4.3604	-0.06624187	11.89981	0.01926471	0.9471914	5.911254	
4.3606	-0.0657124	11.89981	0.01926471	0.9471914	5.911254	
4.3608	-0.0652301	11.88937	0.01929376	0.9471915	12.75638	
4.361	-0.06479109	11.88937	0.01929376	0.9471915	12.75638	
4.3612	-0.06439189	11.88937	0.01929376	0.9471915	12.75638	
4.3614	-0.06402931	11.88937	0.01929376	0.9471915	12.75638	
4.3616	-0.06370047	11.88937	0.01929376	0.9471915	12.75638	
4.3618	-0.06340273	11.91807	0.01935251	0.9471916	20.56677	
4.362	-0.06313372	11.91807	0.01935251	0.9471916	20.56677	
4.3622	-0.06289123	11.91807	0.01935251	0.9471916	20.56677	
4.3624	-0.06267327	11.91807	0.01935251	0.9471916	20.56677	
4.3626	-0.06247801	11.91807	0.01935251	0.9471916	20.56677	
4.3628	-0.06230374	11.98201	0.01938113	0.9471917	27.65518	
4.363	-0.06214895	11.98201	0.01938113	0.9471917	27.65518	
4.3632	-0.06201221	11.98201	0.01938113	0.9471917	27.65518	
4.3634	-0.0618922	11.98201	0.01938113	0.9471917	27.65518	
4.3636	-0.06178773	11.98201	0.01938113	0.9471917	27.65518	
4.3638	-0.06169768	12.07255	0.01937977	0.9471917	33.06155	
4.364	-0.06162102	12.07255	0.01937977	0.9471917	33.06155	
4.3642	-0.06155681	12.07255	0.01937977	0.9471917	33.06155	
4.3644	-0.06150417	12.07255	0.01937977	0.9471917	33.06155	
4.3646	-0.06146229	12.07255	0.01937977	0.9471917	33.06155	
4.3648	-0.06143042	12.17997	0.01937841	0.9471917	36.54966	
4.365	-0.06140785	12.17997	0.01937841	0.9471917	36.54966	
4.3652	-0.06139394	12.17997	0.01937841	0.9471917	36.54966	
4.3654	-0.0613881	12.17997	0.01937841	0.9471917	36.54966	
4.3656	-0.06138975	12.17997	0.01937841	0.9471917	36.54966	
4.3658	-0.06139839	12.29553	0.01937706	0.9471917	38.31409	
4.366	-0.06141352	12.29553	0.01937706	0.9471917	38.31409	
4.3662	-0.06143472	12.29553	0.01937706	0.9471917	38.31409	
4.3664	-0.06146154	12.29553	0.01937706	0.9471917	38.31409	
4.3666	-0.06149361	12.29553	0.01937706	0.9471917	38.31409	
