TimeSlice	Time	BD30FD2B-9C21-4F8A-9254-2AD6E017A678
367	0.1835	9.83439
368	0.184	9.83348
369	0.1845	9.83258
370	0.185	9.83167
371	0.1855	9.83076
372	0.186	9.82985
373	0.1865	9.82894
374	0.187	9.82802
375	0.1875	9.8271
376	0.188	9.82618
377	0.1885	9.82525
378	0.189	9.82432
379	0.1895	9.8234
380	0.19	9.82246
381	0.1905	9.82153
382	0.191	9.82059
383	0.1915	9.81965
384	0.192	9.81871
385	0.1925	9.81777
386	0.193	9.81682
387	0.1935	9.81587
388	0.194	9.81492
389	0.1945	9.81397
390	0.195	9.81301
391	0.1955	9.81205
392	0.196	9.81109
393	0.1965	9.81013
394	0.197	9.80916
395	0.1975	9.80819
396	0.198	9.80722
397	0.1985	9.80624
398	0.199	9.80527
399	0.1995	9.80429
400	0.2	9.80331
401	0.2005	9.80233
402	0.201	9.80134
403	0.2015	9.80035
404	0.202	9.79936
405	0.2025	9.79837
406	0.203	9.79737
407	0.2035	9.79637
408	0.204	9.79537
409	0.2045	9.79437
410	0.205	9.79336
411	0.2055	9.79236
412	0.206	9.79135
413	0.2065	9.79033
414	0.207	9.78932
415	0.2075	9.7883
416	0.208	9.78728
417	0.2085	9.78626
418	0.209	9.78523
419	0.2095	9.7842
420	0.21	9.78317
421	0.2105	9.78214
422	0.211	9.78111
423	0.2115	9.78007
424	0.212	9.77903
425	0.2125	9.77799
426	0.213	9.77694
427	0.2135	9.7759
428	0.214	9.77485
429	0.2145	9.77379
430	0.215	9.77274
431	0.2155	9.77168
432	0.216	9.77062
433	0.2165	9.76956
434	0.217	9.7685
435	0.2175	9.76743
436	0.218	9.76636
437	0.2185	9.76529
438	0.219	9.76421
439	0.2195	9.76314
440	0.22	9.76206
441	0.2205	9.76098
442	0.221	9.75989
443	0.2215	9.75881
444	0.222	9.75772
445	0.2225	9.75663
446	0.223	9.75553
447	0.2235	9.75444
448	0.224	9.75334
449	0.2245	9.75224
450	0.225	9.75113
451	0.2255	9.75003
452	0.226	9.74892
453	0.2265	9.74781
454	0.227	9.74669
455	0.2275	9.74558
456	0.228	9.74446
457	0.2285	9.74334
458	0.229	9.74222
459	0.2295	9.74109
460	0.23	9.73996
461	0.2305	9.73883
462	0.231	9.7377
463	0.2315	9.73656
464	0.232	9.73542
465	0.2325	9.73428
466	0.233	9.73314
467	0.2335	9.732
468	0.234	9.73085
469	0.2345	9.7297
470	0.235	9.72855
471	0.2355	9.72739
472	0.236	9.72623
