Time	A5	A6	A4	A1	A3	A2	PointerY	PointerZ	
0.09200001	-0.0699999	-0.06999955	-0.07	-0.06999955	-0.07	-0.0699999	0.5543126	-9.544624E-09	
0.093	-0.0699999	-0.06999954	-0.07	-0.06999954	-0.07	-0.0699999	0.5541584	-9.687233E-09	
0.094	-0.0699999	-0.06999954	-0.07	-0.06999954	-0.07	-0.0699999	0.5540088	-9.888049E-09	
0.09500001	-0.0699999	-0.06999952	-0.07	-0.06999952	-0.07	-0.0699999	0.5538637	-1.001029E-08	
0.096	-0.0699999	-0.06999952	-0.07	-0.06999952	-0.07	-0.0699999	0.553723	-1.008887E-08	
0.097	-0.06999989	-0.06999952	-0.07	-0.06999952	-0.07	-0.06999989	0.5535869	-1.025476E-08	
0.098	-0.06999989	-0.06999952	-0.07	-0.06999952	-0.07	-0.06999989	0.5534552	-1.045266E-08	
0.09900001	-0.06999989	-0.0699995	-0.07	-0.0699995	-0.07	-0.06999989	0.553328	-1.056326E-08	
0.1	-0.06999989	-0.0699995	-0.07	-0.0699995	-0.07	-0.06999989	0.5532052	-1.062729E-08	
0.101	-0.06999989	-0.06999949	-0.07	-0.06999949	-0.07	-0.06999989	0.5530869	-1.066512E-08	
0.102	-0.06999989	-0.06999949	-0.07	-0.06999949	-0.07	-0.06999989	0.552973	-1.079318E-08	
0.103	-0.06999988	-0.06999948	-0.07	-0.06999948	-0.07	-0.06999988	0.5528635	-1.095907E-08	
0.104	-0.06999988	-0.06999948	-0.07	-0.06999948	-0.07	-0.06999988	0.5527583	-1.103183E-08	
0.105	-0.06999988	-0.06999946	-0.07	-0.06999946	-0.07	-0.06999988	0.5526575	-1.116862E-08	
0.106	-0.06999988	-0.06999946	-0.07	-0.06999946	-0.07	-0.06999988	0.552561	-1.121809E-08	
0.107	-0.06999988	-0.06999946	-0.07	-0.06999946	-0.07	-0.06999988	0.5524687	-1.122683E-08	
0.108	-0.06999988	-0.06999946	-0.07	-0.06999946	-0.07	-0.06999988	0.5523807	-1.121227E-08	
0.109	-0.06999987	-0.06999945	-0.07	-0.06999945	-0.07	-0.06999987	0.5522969	-1.129085E-08	
0.11	-0.06999987	-0.06999945	-0.07	-0.06999945	-0.07	-0.06999987	0.5522172	-1.129959E-08	
0.111	-0.06999987	-0.06999943	-0.07	-0.06999943	-0.07	-0.06999987	0.5521416	-1.13869E-08	
0.112	-0.06999987	-0.06999943	-0.07	-0.06999943	-0.07	-0.06999987	0.5520701	-1.139272E-08	
0.113	-0.06999987	-0.06999943	-0.07	-0.06999943	-0.07	-0.06999987	0.5520025	-1.146839E-08	
0.114	-0.06999987	-0.06999943	-0.07	-0.06999943	-0.07	-0.06999987	0.551939	-1.146257E-08	
0.115	-0.06999987	-0.06999941	-0.07	-0.06999941	-0.07	-0.06999987	0.5518792	-1.141891E-08	
0.116	-0.06999987	-0.06999941	-0.07	-0.06999941	-0.07	-0.06999987	0.5518233	-1.145966E-08	
0.117	-0.06999987	-0.0699994	-0.07	-0.0699994	-0.07	-0.06999987	0.5517712	-1.142473E-08	
0.118	-0.06999987	-0.0699994	-0.07	-0.0699994	-0.07	-0.06999987	0.5517228	-1.135779E-08	
0.119	-0.06999987	-0.0699994	-0.07	-0.0699994	-0.07	-0.06999987	0.5516781	-1.127339E-08	
0.12	-0.06999987	-0.0699994	-0.07	-0.0699994	-0.07	-0.06999987	0.5516369	-1.128212E-08	
0.121	-0.06999987	-0.06999939	-0.07	-0.06999939	-0.07	-0.06999987	0.5515992	-1.122392E-08	
0.122	-0.06999987	-0.06999939	-0.07	-0.06999939	-0.07	-0.06999987	0.5515649	-1.113369E-08	
0.123	-0.06999986	-0.06999938	-0.07	-0.06999938	-0.07	-0.06999986	0.5515341	-1.102601E-08	
0.124	-0.06999986	-0.06999938	-0.07	-0.06999938	-0.07	-0.06999986	0.5515065	-1.090668E-08	
0.125	-0.06999986	-0.06999937	-0.07	-0.06999937	-0.07	-0.06999986	0.5514822	-1.077863E-08	
0.126	-0.06999986	-0.06999937	-0.07	-0.06999937	-0.07	-0.06999986	0.551461	-1.064475E-08	
0.127	-0.06999986	-0.06999937	-0.07	-0.06999937	-0.07	-0.06999986	0.5514429	-1.050796E-08	
0.128	-0.06999986	-0.06999937	-0.07	-0.06999937	-0.07	-0.06999986	0.5514278	-1.036535E-08	
0.129	-0.06999986	-0.06999936	-0.07	-0.06999936	-0.07	-0.06999986	0.5514156	-1.021692E-08	
0.13	-0.06999986	-0.06999936	-0.07	-0.06999936	-0.07	-0.06999986	0.5514063	-1.006558E-08	
0.131	-0.06999986	-0.06999935	-0.07	-0.06999935	-0.07	-0.06999986	0.5513996	-9.908422E-09	
0.132	-0.06999986	-0.06999935	-0.07	-0.06999935	-0.07	-0.06999986	0.5513958	-9.748351E-09	
0.133	-0.06999985	-0.06999934	-0.07	-0.06999934	-0.07	-0.06999985	0.5513945	-9.582459E-09	
0.134	-0.06999985	-0.06999934	-0.07	-0.06999934	-0.07	-0.06999985	0.5513957	-9.521341E-09	
0.135	-0.06999985	-0.06999934	-0.07	-0.06999934	-0.07	-0.06999985	0.5513994	-9.503879E-09	
0.136	-0.06999985	-0.06999934	-0.07	-0.06999934	-0.07	-0.06999985	0.5514054	-9.503879E-09	
0.137	-0.06999985	-0.06999934	-0.07	-0.06999934	-0.07	-0.06999985	0.5514137	-9.51261E-09	
0.138	-0.06999985	-0.06999934	-0.07	-0.06999934	-0.07	-0.06999985	0.5514241	-9.518419E-09	
0.139	-0.06999985	-0.06999933	-0.07	-0.06999933	-0.07	-0.06999985	0.5514366	-9.413646E-09	
0.14	-0.06999985	-0.06999933	-0.07	-0.06999933	-0.07	-0.06999985	0.5514511	-9.262317E-09	
0.141	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5514677	-9.087694E-09	
0.142	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.551486	-8.793745E-09	
0.143	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.551506	-8.44741E-09	
0.144	-0.06999985	-0.06999932	-0.07	-0.06999932	-0.07	-0.06999985	0.5515278	-8.185475E-09	
0.145	-0.06999985	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999985	0.5515512	-7.958465E-09	
0.146	-0.06999985	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999985	0.551576	-7.746007E-09	
0.147	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5516023	-7.53937E-09	
0.148	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5516299	-7.332733E-09	
0.149	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5516587	-7.126096E-09	
0.15	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5516887	-6.916548E-09	
0.151	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5517198	-6.707001E-09	
0.152	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5517519	-6.389769E-09	
0.153	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5517849	-5.935749E-09	
0.154	-0.06999984	-0.06999931	-0.07	-0.06999931	-0.07	-0.06999984	0.5518188	-5.455536E-09	
0.155	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5518534	-4.984054E-09	
0.156	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5518886	-4.439812E-09	
0.157	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5519245	-3.886839E-09	
0.158	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5519609	-3.348418E-09	
0.159	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5519977	-2.83037E-09	
0.16	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5520349	-2.335605E-09	
0.161	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.5520723	-1.861213E-09	
0.162	-0.06999984	-0.0699993	-0.07	-0.0699993	-0.07	-0.06999984	0.55211	-1.404283E-09	
0.163	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5521478	-9.648148E-10	
0.164	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5521857	-5.398988E-10	
0.165	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5522236	-1.324452E-10	
0.166	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5522613	3.681407E-10	
0.167	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.552299	8.978304E-10	
0.168	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5523364	1.328567E-09	
0.169	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5523735	1.709827E-09	
0.17	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5524103	2.059073E-09	
0.171	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5524467	2.385036E-09	
0.172	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5524826	2.699358E-09	
0.173	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.552518	3.109722E-09	
0.174	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5525528	3.55501E-09	
0.175	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.552587	4.011941E-09	
0.176	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5526204	4.46596E-09	
0.177	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.552653	4.911249E-09	
0.178	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5526849	5.344896E-09	
0.179	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5527159	5.769812E-09	
0.18	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.552746	6.078313E-09	
0.181	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5527751	6.334426E-09	
0.182	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5528032	6.558526E-09	
0.183	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5528302	6.765163E-09	
0.184	-0.06999984	-0.06999929	-0.07	-0.06999929	-0.07	-0.06999984	0.5528561	6.960158E-09	
