Time	Position	Length2	2	
0.417	0.9542382	4.167514	0	
0.418	0.9599918	4.16193	0	
0.419	0.965749	4.156342	0	
0.42	0.9715098	4.15075	0	
0.421	0.9772742	4.145155	0	
0.422	0.9830421	4.139558	0	
0.423	0.9888133	4.133958	0	
0.424	0.994588	4.128356	0	
0.425	1.000366	4.122749	0	
0.426	1.006147	4.117141	0	
0.427	1.011932	4.11153	0	
0.428	1.017719	4.105917	0	
0.429	1.02351	4.100301	0	
0.43	1.029304	4.094682	0	
0.431	1.035101	4.089061	0	
0.432	1.0409	4.083438	0	
0.433	1.046703	4.077812	0	
0.434	1.052508	4.072184	0	
0.435	1.058316	4.066555	0	
0.436	1.064127	4.060923	0	
0.437	1.069941	4.055289	0	
0.438	1.075757	4.049653	0	
0.439	1.081575	4.044014	0	
0.44	1.087397	4.038374	0	
0.441	1.09322	4.032732	0	
0.442	1.099046	4.027089	0	
0.443	1.104874	4.021443	0	
0.444	1.110705	4.015796	0	
0.445	1.116537	4.010147	0	
0.446	1.122372	4.004497	0	
0.447	1.128209	3.998846	0	
0.448	1.134048	3.993193	0	
0.449	1.139889	3.987538	0	
0.45	1.145732	3.981882	0	
0.451	1.151577	3.976225	0	
0.452	1.157423	3.970567	0	
0.453	1.163272	3.964907	0	
0.454	1.169122	3.959246	0	
0.455	1.174973	3.953584	0	
0.456	1.180827	3.947922	0	
0.457	1.186682	3.942258	0	
0.458	1.192538	3.936594	0	
0.459	1.198396	3.930929	0	
0.46	1.204255	3.925263	0	
0.461	1.210115	3.919596	0	
0.462	1.215977	3.913929	0	
0.463	1.22184	3.908261	0	
0.464	1.227704	3.902592	0	
0.465	1.233569	3.896922	0	
0.466	1.239435	3.891253	0	
0.467	1.245302	3.885583	0	
0.468	1.251171	3.879914	0	
0.469	1.25704	3.874243	0	
0.47	1.262909	3.868572	0	
0.471	1.26878	3.862902	0	
0.472	1.274651	3.857231	0	
0.473	1.280523	3.85156	0	
0.474	1.286396	3.84589	0	
0.475	1.292269	3.840219	0	
0.476	1.298142	3.834548	0	
0.477	1.304016	3.828877	0	
0.478	1.309891	3.823207	0	
0.479	1.315766	3.817538	0	
0.48	1.321641	3.811868	0	
0.481	1.327516	3.806199	0	
0.482	1.333391	3.80053	0	
0.483	1.339267	3.794862	0	
0.484	1.345142	3.789194	0	
0.485	1.351018	3.783527	0	
0.486	1.356893	3.777861	0	
0.487	1.362769	3.772196	0	
0.488	1.368644	3.766531	0	
0.489	1.374519	3.760867	0	
0.49	1.380394	3.755205	0	
0.491	1.386268	3.749543	0	
0.492	1.392142	3.743882	0	
0.493	1.398016	3.738222	0	
0.494	1.403889	3.732563	0	
0.495	1.409762	3.726906	0	
0.496	1.415634	3.721249	0	
0.497	1.421505	3.715594	0	
0.498	1.427376	3.70994	0	
0.499	1.433246	3.704288	0	
0.5	1.439115	3.698637	0	
0.501	1.444983	3.692988	0	
0.502	1.45085	3.68734	0	
0.503	1.456717	3.681694	0	
0.504	1.462582	3.676049	0	
0.505	1.468446	3.670406	0	
0.506	1.474309	3.664765	0	
0.507	1.480171	3.659126	0	
0.508	1.486032	3.653489	0	
0.509	1.491892	3.647854	0	
0.5100001	1.49775	3.64222	0	
0.511	1.503606	3.636589	0	
0.512	1.509461	3.63096	0	
0.513	1.515315	3.625333	0	
0.514	1.521167	3.619708	0	
0.515	1.527018	3.614086	0	
0.516	1.532867	3.608466	0	
0.517	1.538714	3.602848	0	
0.518	1.544559	3.597233	0	
0.5190001	1.550403	3.591619	0	
0.52	1.556245	3.586009	0	
0.521	1.562085	3.580401	0	
0.522	1.567923	3.574796	0	
0.523	1.573758	3.569193	0	
0.524	1.579592	3.563594	0	
0.525	1.585424	3.557997	0	
0.526	1.591253	3.552403	0	
0.527	1.59708	3.546812	0	
0.528	1.602905	3.541224	0	
0.529	1.608728	3.535638	0	
0.53	1.614548	3.530056	0	
0.531	1.620366	3.524477	0	
0.532	1.626181	3.518901	0	
0.5330001	1.631994	3.513328	0	
0.534	1.637804	3.507759	0	
0.535	1.643612	3.502192	0	
0.536	1.649417	3.49663	0	
0.537	1.655219	3.491071	0	
0.538	1.661018	3.485515	0	
0.539	1.666814	3.479963	0	
0.54	1.672608	3.474414	0	
0.541	1.678398	3.468869	0	
0.5420001	1.684186	3.463327	0	
0.543	1.68997	3.457789	0	
0.544	1.695752	3.452255	0	
0.545	1.70153	3.446725	0	
0.546	1.707305	3.441199	0	
0.5470001	1.713077	3.435677	0	
0.548	1.718845	3.430159	0	
0.549	1.72461	3.424644	0	
0.55	1.730372	3.419134	0	
0.551	1.73613	3.413629	0	
0.552	1.741885	3.408127	0	
0.553	1.747636	3.402629	0	
0.554	1.753383	3.397136	0	
0.555	1.759127	3.391647	0	
0.5560001	1.764867	3.386163	0	
0.557	1.770604	3.380682	0	
0.558	1.776337	3.375206	0	
0.559	1.782065	3.369735	0	
0.56	1.78779	3.364268	0	
0.561	1.793511	3.358807	0	
0.562	1.799228	3.353349	0	
0.563	1.804941	3.347897	0	
0.564	1.81065	3.34245	0	
0.565	1.816354	3.337007	0	
0.566	1.822054	3.331569	0	
0.567	1.827751	3.326136	0	
0.568	1.833442	3.320708	0	
0.569	1.83913	3.315285	0	
0.5700001	1.844813	3.309867	0	
0.571	1.850492	3.304454	0	
0.572	1.856166	3.299046	0	
0.573	1.861835	3.293644	0	
0.574	1.8675	3.288247	0	
0.575	1.873161	3.282855	0	
0.576	1.878816	3.277468	0	
0.577	1.884467	3.272088	0	
0.578	1.890114	3.266712	0	
0.5790001	1.895755	3.261342	0	
