Time	2	Length2	Position	
0.509	0	4.429516	0.5704829	
0.5100001	0	4.425925	0.5740739	
0.511	0	4.422331	0.5776677	
0.512	0	4.418735	0.5812643	
0.513	0	4.415135	0.5848638	
0.514	0	4.411533	0.588466	
0.515	0	4.407928	0.5920711	
0.516	0	4.40432	0.5956788	
0.517	0	4.40071	0.5992893	
0.518	0	4.397097	0.6029025	
0.5190001	0	4.393481	0.6065184	
0.52	0	4.389862	0.610137	
0.521	0	4.386241	0.6137583	
0.522	0	4.382617	0.6173822	
0.523	0	4.37899	0.6210088	
0.524	0	4.375361	0.6246378	
0.525	0	4.371729	0.6282696	
0.526	0	4.368095	0.6319038	
0.527	0	4.364459	0.6355406	
0.528	0	4.360819	0.6391799	
0.529	0	4.357177	0.6428218	
0.53	0	4.353533	0.6464661	
0.531	0	4.349886	0.6501128	
0.532	0	4.346237	0.653762	
0.5330001	0	4.342586	0.6574136	
0.534	0	4.338932	0.6610677	
0.535	0	4.335275	0.6647241	
0.536	0	4.331616	0.6683829	
0.537	0	4.327955	0.672044	
0.538	0	4.324292	0.6757075	
0.539	0	4.320626	0.6793733	
0.54	0	4.316957	0.6830413	
0.541	0	4.313287	0.6867117	
0.5420001	0	4.309615	0.6903842	
0.543	0	4.30594	0.694059	
0.544	0	4.302263	0.697736	
0.545	0	4.298584	0.7014152	
0.546	0	4.294902	0.7050966	
0.5470001	0	4.291219	0.7087801	
0.548	0	4.287533	0.7124658	
0.549	0	4.283845	0.7161535	
0.55	0	4.280156	0.7198434	
0.551	0	4.276464	0.7235353	
0.552	0	4.27277	0.7272293	
0.553	0	4.269073	0.7309253	
0.554	0	4.265376	0.7346234	
0.555	0	4.261676	0.7383234	
0.5560001	0	4.257974	0.7420254	
0.557	0	4.25427	0.7457293	
0.558	0	4.250564	0.7494352	
0.559	0	4.246856	0.7531431	
0.56	0	4.243146	0.7568528	
0.561	0	4.239435	0.7605644	
0.562	0	4.235721	0.7642778	
0.563	0	4.232006	0.7679931	
0.564	0	4.228289	0.7717102	
0.565	0	4.22457	0.7754291	
0.566	0	4.220849	0.7791498	
0.567	0	4.217127	0.7828723	
0.568	0	4.213403	0.7865965	
0.569	0	4.209677	0.7903224	
0.5700001	0	4.205949	0.79405	
0.571	0	4.20222	0.7977793	
0.572	0	4.198489	0.8015103	
0.573	0	4.194756	0.8052429	
0.574	0	4.191022	0.8089771	
0.575	0	4.187286	0.812713	
0.576	0	4.183548	0.8164504	
0.577	0	4.17981	0.8201894	
0.578	0	4.176069	0.82393	
0.5790001	0	4.172327	0.8276721	
0.58	0	4.168583	0.8314157	
0.581	0	4.164838	0.8351607	
0.582	0	4.161092	0.8389072	
0.583	0	4.157344	0.8426552	
0.5840001	0	4.153594	0.8464047	
0.585	0	4.149844	0.8501555	
0.586	0	4.146091	0.8539077	
0.587	0	4.142338	0.8576613	
0.588	0	4.138583	0.8614163	
0.589	0	4.134827	0.8651726	
0.59	0	4.131069	0.8689302	
0.591	0	4.12731	0.8726891	
0.592	0	4.12355	0.8764492	
0.5930001	0	4.119788	0.8802106	
0.594	0	4.116026	0.8839733	
0.595	0	4.112262	0.8877372	
0.596	0	4.108497	0.8915022	
0.597	0	4.104731	0.8952684	
0.598	0	4.100963	0.8990358	
0.599	0	4.097195	0.9028044	
0.6	0	4.093425	0.906574	
0.601	0	4.089654	0.9103448	
0.6020001	0	4.085882	0.9141166	
0.603	0	4.082109	0.9178895	
0.604	0	4.078336	0.9216635	
0.605	0	4.074561	0.9254384	
0.606	0	4.070785	0.9292144	
0.6070001	0	4.067008	0.9329913	
0.608	0	4.06323	0.9367692	
0.609	0	4.059451	0.9405481	
0.61	0	4.055671	0.9443279	
0.611	0	4.05189	0.9481086	
0.612	0	4.048109	0.9518901	
0.613	0	4.044326	0.9556726	
0.614	0	4.040543	0.9594558	
0.615	0	4.036759	0.96324	
0.6160001	0	4.032974	0.9670249	
0.617	0	4.029188	0.9708107	
0.618	0	4.025402	0.9745972	
0.619	0	4.021615	0.9783844	
0.62	0	4.017827	0.9821724	
0.6210001	0	4.014038	0.9859611	
0.622	0	4.010249	0.9897504	
0.623	0	4.006458	0.9935405	
0.624	0	4.002668	0.9973313	
0.625	0	3.998877	1.001123	
0.626	0	3.995085	1.004915	
0.627	0	3.991292	1.008707	
0.628	0	3.987499	1.0125	
0.629	0	3.983705	1.016294	
0.6300001	0	3.979911	1.020088	
0.631	0	3.976116	1.023883	
0.632	0	3.972321	1.027678	
0.633	0	3.968525	1.031474	
0.634	0	3.964729	1.03527	
0.6350001	0	3.960932	1.039067	
0.636	0	3.957135	1.042864	
0.637	0	3.953338	1.046661	
0.638	0	3.94954	1.050459	
0.6390001	0	3.945742	1.054257	
0.64	0	3.941943	1.058056	
0.641	0	3.938144	1.061855	
0.642	0	3.934345	1.065654	
0.643	0	3.930546	1.069453	
0.6440001	0	3.926746	1.073253	
0.645	0	3.922946	1.077053	
0.646	0	3.919146	1.080853	
0.647	0	3.915345	1.084654	
0.648	0	3.911544	1.088455	
0.649	0	3.907743	1.092255	
0.65	0	3.903943	1.096056	
0.651	0	3.900141	1.099858	
0.652	0	3.89634	1.103659	
0.6530001	0	3.892539	1.10746	
0.654	0	3.888737	1.111262	
0.655	0	3.884936	1.115063	
0.656	0	3.881135	1.118865	
0.657	0	3.877333	1.122666	
0.6580001	0	3.873531	1.126468	
0.659	0	3.86973	1.130269	
0.66	0	3.865928	1.134071	
0.661	0	3.862127	1.137872	
0.6620001	0	3.858325	1.141673	
0.663	0	3.854524	1.145475	
0.664	0	3.850723	1.149276	
0.665	0	3.846922	1.153077	
0.666	0	3.843122	1.156878	
0.6670001	0	3.839321	1.160678	
0.668	0	3.83552	1.164479	
0.669	0	3.83172	1.168279	
0.67	0	3.82792	1.172079	
0.671	0	3.82412	1.175879	
0.6720001	0	3.820321	1.179679	
0.673	0	3.816521	1.183478	
0.674	0	3.812722	1.187277	
0.675	0	3.808923	1.191076	
0.6760001	0	3.805125	1.194874	
0.677	0	3.801327	1.198672	
0.678	0	3.797529	1.20247	
0.679	0	3.793732	1.206267	
0.68	0	3.789936	1.210064	
0.6810001	0	3.786139	1.21386	
0.682	0	3.782343	1.217656	
0.683	0	3.778548	1.221451	
0.684	0	3.774753	1.225246	
0.6850001	0	3.770958	1.229041	
0.686	0	3.767164	1.232835	
0.687	0	3.763371	1.236628	
0.688	0	3.759578	1.240421	
0.689	0	3.755786	1.244213	
0.6900001	0	3.751994	1.248005	
0.691	0	3.748203	1.251796	
0.692	0	3.744413	1.255586	
0.693	0	3.740623	1.259376	
0.694	0	3.736834	1.263165	
0.6950001	0	3.733046	1.266953	
0.696	0	3.729258	1.270741	
0.697	0	3.725471	1.274528	
0.698	0	3.721685	1.278314	
0.6990001	0	3.717899	1.2821	
0.7	0	3.714115	1.285884	
0.701	0	3.710331	1.289668	
0.702	0	3.706548	1.293451	
0.703	0	3.702766	1.297233	
0.7040001	0	3.698985	1.301015	
0.705	0	3.695204	1.304795	
0.706	0	3.691425	1.308574	
0.707	0	3.687646	1.312353	
0.708	0	3.683868	1.316131	
0.7090001	0	3.680092	1.319907	
0.71	0	3.676316	1.323683	
0.711	0	3.672541	1.327458	
0.712	0	3.668767	1.331231	
0.7130001	0	3.664995	1.335004	
0.714	0	3.661223	1.338776	
0.715	0	3.657453	1.342546	
0.716	0	3.653683	1.346316	
0.717	0	3.649915	1.350084	
0.7180001	0	3.646147	1.353852	
0.719	0	3.642381	1.357618	
0.72	0	3.638616	1.361383	
0.721	0	3.634852	1.365147	
0.7220001	0	3.63109	1.368909	
0.723	0	3.627328	1.372671	
0.724	0	3.623568	1.376431	
0.725	0	3.619809	1.38019	
0.726	0	3.616052	1.383947	
0.7270001	0	3.612295	1.387704	
0.728	0	3.60854	1.391459	
0.729	0	3.604786	1.395213	
0.73	0	3.601034	1.398965	
0.731	0	3.597283	1.402716	
0.7320001	0	3.593533	1.406466	
0.733	0	3.589785	1.410214	
0.734	0	3.586038	1.413961	
0.735	0	3.582292	1.417707	
0.7360001	0	3.578548	1.421451	
0.737	0	3.574805	1.425194	
0.738	0	3.571064	1.428935	
0.739	0	3.567325	1.432674	
0.74	0	3.563587	1.436412	
0.7410001	0	3.55985	1.440149	
0.742	0	3.556115	1.443884	
0.743	0	3.552382	1.447617	
0.744	0	3.54865	1.451349	
0.7450001	0	3.544919	1.45508	
0.7460001	0	3.541191	1.458808	
0.747	0	3.537464	1.462535	
0.748	0	3.533739	1.46626	
0.749	0	3.530015	1.469984	
0.7500001	0	3.526293	1.473706	
0.751	0	3.522573	1.477426	
0.752	0	3.518854	1.481145	
0.753	0	3.515138	1.484861	
0.754	0	3.511423	1.488577	
0.7550001	0	3.507709	1.49229	
0.756	0	3.503998	1.496001	
0.757	0	3.500288	1.499711	
0.758	0	3.496581	1.503418	
0.7590001	0	3.492875	1.507124	
0.7600001	0	3.489171	1.510828	
