Time	PendulumX	PendulumY	PendulumZ	Rotation	
0.154	-0.2076085	-0.668505	4.228012E-05	0.3011132	
0.155	-0.208937	-0.668091	4.255067E-05	0.3031011	
0.156	-0.2102647	-0.6676743	4.282105E-05	0.305089	
0.157	-0.2115915	-0.6672551	4.309127E-05	0.3070768	
0.158	-0.2129174	-0.6668331	4.336128E-05	0.3090645	
0.159	-0.2142423	-0.6664087	4.363113E-05	0.3110521	
0.16	-0.2155664	-0.6659815	4.390078E-05	0.3130396	
0.161	-0.2168896	-0.6655518	4.417025E-05	0.3150271	
0.162	-0.2182119	-0.6651194	4.443954E-05	0.3170145	
0.163	-0.2195332	-0.6646845	4.470863E-05	0.3190018	
0.164	-0.2208537	-0.6642469	4.497755E-05	0.320989	
0.165	-0.2221732	-0.6638067	4.524627E-05	0.3229762	
0.166	-0.2234918	-0.6633639	4.551482E-05	0.3249632	
0.167	-0.2248095	-0.6629186	4.578316E-05	0.3269503	
0.168	-0.2261261	-0.6624706	4.60513E-05	0.3289371	
0.169	-0.2274419	-0.66202	4.631926E-05	0.3309239	
0.17	-0.2287567	-0.6615669	4.658703E-05	0.3329106	
0.171	-0.2300705	-0.6611111	4.685459E-05	0.3348972	
0.172	-0.2313834	-0.6606527	4.712196E-05	0.3368839	
0.173	-0.2326954	-0.6601918	4.738915E-05	0.3388705	
0.174	-0.2340064	-0.6597282	4.765614E-05	0.340857	
0.175	-0.2353164	-0.6592621	4.792294E-05	0.3428433	
0.176	-0.2366255	-0.6587934	4.818954E-05	0.3448296	
0.177	-0.2379335	-0.6583221	4.845592E-05	0.3468159	
0.178	-0.2392406	-0.6578482	4.872209E-05	0.348802	
0.179	-0.2405467	-0.6573718	4.898809E-05	0.3507881	
0.18	-0.2418517	-0.6568928	4.925386E-05	0.3527741	
0.181	-0.2431557	-0.6564112	4.951942E-05	0.35476	
0.182	-0.2444588	-0.655927	4.978481E-05	0.3567458	
0.183	-0.2457608	-0.6554403	5.004997E-05	0.3587315	
0.184	-0.2470618	-0.654951	5.031491E-05	0.3607172	
0.185	-0.2483618	-0.6544592	5.057965E-05	0.3627028	
0.186	-0.2496607	-0.6539648	5.084419E-05	0.3646884	
0.187	-0.2509587	-0.6534678	5.110852E-05	0.3666738	
0.188	-0.2522556	-0.6529683	5.137263E-05	0.3686593	
0.189	-0.2535515	-0.6524662	5.163654E-05	0.3706447	
0.19	-0.2548463	-0.6519615	5.190025E-05	0.3726299	
0.191	-0.2561401	-0.6514543	5.216373E-05	0.3746151	
0.192	-0.2574328	-0.6509446	5.2427E-05	0.3766002	
0.193	-0.2587244	-0.6504323	5.269003E-05	0.3785852	
0.194	-0.260015	-0.6499174	5.295287E-05	0.3805701	
0.195	-0.2613044	-0.6494001	5.321546E-05	0.382555	
0.196	-0.2625928	-0.6488802	5.347783E-05	0.3845398	
0.197	-0.2638801	-0.6483577	5.374E-05	0.3865245	
0.198	-0.2651663	-0.6478328	5.400195E-05	0.3885091	
0.199	-0.2664514	-0.6473053	5.426367E-05	0.3904936	
0.2	-0.2677355	-0.6467752	5.452518E-05	0.3924781	
0.201	-0.2690184	-0.6462426	5.478645E-05	0.3944625	
0.202	-0.2703003	-0.6457075	5.504751E-05	0.3964468	
0.203	-0.271581	-0.6451699	5.530832E-05	0.3984311	
0.204	-0.2728606	-0.6446298	5.556891E-05	0.4004153	
0.205	-0.274139	-0.6440872	5.582926E-05	0.4023992	
0.206	-0.2754163	-0.643542	5.60894E-05	0.4043834	
0.207	-0.2766925	-0.6429943	5.63493E-05	0.4063672	
0.208	-0.2779676	-0.6424442	5.660898E-05	0.4083509	
0.209	-0.2792415	-0.6418915	5.686841E-05	0.4103349	
0.21	-0.2805142	-0.6413363	5.71276E-05	0.4123184	
0.211	-0.2817858	-0.6407787	5.738656E-05	0.4143021	
0.212	-0.2830562	-0.6402185	5.764529E-05	0.4162856	
0.213	-0.2843255	-0.6396558	5.790378E-05	0.418269	
0.214	-0.2855937	-0.6390905	5.816206E-05	0.4202525	
0.215	-0.2868607	-0.6385229	5.842008E-05	0.4222358	
0.216	-0.2881264	-0.6379527	5.867785E-05	0.4242191	
0.217	-0.289391	-0.6373801	5.89354E-05	0.4262022	
0.218	-0.2906545	-0.636805	5.91927E-05	0.4281855	
0.219	-0.2919168	-0.6362273	5.944976E-05	0.4301684	
0.22	-0.2931778	-0.6356472	5.970659E-05	0.4321515	
0.221	-0.2944376	-0.6350645	5.996315E-05	0.4341343	
0.222	-0.2956963	-0.6344795	6.021949E-05	0.4361172	
0.223	-0.2969537	-0.6338921	6.047555E-05	0.4380999	
0.224	-0.29821	-0.633302	6.073139E-05	0.4400826	
0.225	-0.299465	-0.6327095	6.098698E-05	0.4420652	
0.226	-0.3007188	-0.6321146	6.124231E-05	0.4440477	
0.227	-0.3019713	-0.6315172	6.14974E-05	0.4460301	
0.228	-0.3032225	-0.6309174	6.175222E-05	0.4480124	
0.229	-0.3044725	-0.6303151	6.200679E-05	0.4499945	
0.23	-0.3057213	-0.6297104	6.22611E-05	0.4519766	
0.231	-0.3069688	-0.6291031	6.251515E-05	0.4539587	
0.232	-0.308215	-0.6284935	6.276895E-05	0.4559407	
0.233	-0.30946	-0.6278815	6.30225E-05	0.4579226	
0.234	-0.3107037	-0.627267	6.327579E-05	0.4599044	
0.235	-0.3119462	-0.62665	6.352884E-05	0.4618861	
0.236	-0.3131875	-0.6260306	6.37816E-05	0.4638679	
0.237	-0.3144273	-0.6254088	6.403412E-05	0.4658494	
0.238	-0.315666	-0.6247845	6.428637E-05	0.4678309	
0.239	-0.3169034	-0.6241578	6.453838E-05	0.4698124	
0.24	-0.3181395	-0.6235287	6.47901E-05	0.4717938	
0.241	-0.3193743	-0.6228971	6.504157E-05	0.4737751	
0.242	-0.3206077	-0.6222631	6.529276E-05	0.4757563	
0.243	-0.3218398	-0.6216268	6.55437E-05	0.4777374	
