Time	Vm	Activation	Inactivation	
5.0218	-0.04883715	0.4401997	0.06302888	
5.022	-0.04884069	0.43985	0.06304403	
5.0222	-0.04884422	0.4395004	0.06305921	
5.0224	-0.04884776	0.4391508	0.06307442	
5.0226	-0.04885129	0.4388012	0.06308967	
5.0228	-0.04885481	0.4384516	0.06310495	
5.023	-0.04885833	0.4381021	0.06312026	
5.0232	-0.04886185	0.4377526	0.0631356	
5.0234	-0.04886537	0.4374031	0.06315098	
5.0236	-0.04886888	0.4370537	0.06316639	
5.0238	-0.0488724	0.4367044	0.06318182	
5.024	-0.04887591	0.436355	0.0631973	
5.0242	-0.04887941	0.4360057	0.0632128	
5.0244	-0.04888292	0.4356565	0.06322834	
5.0246	-0.04888641	0.4353072	0.06324391	
5.0248	-0.04888991	0.434958	0.06325951	
5.025	-0.04889341	0.4346089	0.06327514	
5.0252	-0.0488969	0.4342598	0.06329081	
5.0254	-0.04890038	0.4339108	0.06330651	
5.0256	-0.04890387	0.4335617	0.06332224	
5.0258	-0.04890735	0.4332128	0.063338	
5.026	-0.04891083	0.4328639	0.0633538	
5.0262	-0.04891431	0.432515	0.06336962	
5.0264	-0.04891778	0.4321662	0.06338549	
5.0266	-0.04892125	0.4318174	0.06340138	
5.0268	-0.04892472	0.4314687	0.0634173	
5.027	-0.04892819	0.43112	0.06343326	
5.0272	-0.04893164	0.4307714	0.06344925	
5.0274	-0.0489351	0.4304228	0.06346527	
5.0276	-0.04893856	0.4300743	0.06348132	
5.0278	-0.04894201	0.4297259	0.06349741	
5.028	-0.04894546	0.4293775	0.06351353	
5.0282	-0.0489489	0.4290291	0.06352969	
5.0284	-0.04895235	0.4286809	0.06354587	
5.0286	-0.04895579	0.4283327	0.06356209	
5.0288	-0.04895923	0.4279845	0.06357834	
5.029	-0.04896266	0.4276364	0.06359462	
5.0292	-0.04896609	0.4272884	0.06361094	
5.0294	-0.04896951	0.4269404	0.06362729	
5.0296	-0.04897294	0.4265926	0.06364367	
5.0298	-0.04897636	0.4262447	0.06366009	
5.03	-0.04897977	0.425897	0.06367653	
5.0302	-0.04898319	0.4255493	0.06369301	
5.0304	-0.0489866	0.4252017	0.06370952	
5.0306	-0.04899001	0.4248542	0.06372607	
5.0308	-0.04899342	0.4245067	0.06374265	
5.031	-0.04899681	0.4241593	0.06375926	
5.0312	-0.04900021	0.423812	0.0637759	
5.0314	-0.04900361	0.4234647	0.06379258	
5.0316	-0.049007	0.4231176	0.06380929	
5.0318	-0.04901039	0.4227705	0.06382603	
5.032	-0.04901377	0.4224235	0.06384281	
5.0322	-0.04901716	0.4220766	0.06385962	
5.0324	-0.04902054	0.4217297	0.06387646	
5.0326	-0.04902391	0.421383	0.06389333	
5.0328	-0.04902728	0.4210363	0.06391024	
5.033	-0.04903065	0.4206898	0.06392718	
5.0332	-0.04903402	0.4203433	0.06394415	
5.0334	-0.04903738	0.4199968	0.06396116	
5.0336	-0.04904074	0.4196505	0.0639782	
5.0338	-0.0490441	0.4193043	0.06399527	
5.034	-0.04904745	0.4189581	0.06401238	
5.0342	-0.0490508	0.4186121	0.06402951	
5.0344	-0.04905414	0.4182661	0.06404669	
5.0346	-0.04905748	0.4179203	0.06406389	
5.0348	-0.04906083	0.4175745	0.06408113	
5.035	-0.04906416	0.4172288	0.0640984	
5.0352	-0.04906749	0.4168833	0.0641157	
5.0354	-0.04907082	0.4165378	0.06413304	
5.0356	-0.04907415	0.4161924	0.06415041	
5.0358	-0.04907747	0.4158472	0.06416781	
5.036	-0.04908079	0.415502	0.06418525	
5.0362	-0.0490841	0.4151569	0.06420272	
5.0364	-0.04908741	0.414812	0.06422022	
5.0366	-0.04909072	0.4144671	0.06423776	
5.0368	-0.04909403	0.4141224	0.06425533	
5.037	-0.04909733	0.4137777	0.06427293	
5.0372	-0.04910062	0.4134332	0.06429056	
5.0374	-0.04910392	0.4130888	0.06430823	
5.0376	-0.04910721	0.4127445	0.06432593	
5.0378	-0.0491105	0.4124003	0.06434366	
5.038	-0.04911378	0.4120562	0.06436143	
5.0382	-0.04911706	0.4117123	0.06437923	
5.0384	-0.04912034	0.4113684	0.06439707	
5.0386	-0.04912361	0.4110247	0.06441493	
5.0388	-0.04912688	0.410681	0.06443283	
5.039	-0.04913015	0.4103375	0.06445076	
5.0392	-0.04913341	0.4099942	0.06446873	
5.0394	-0.04913667	0.4096509	0.06448673	
5.0396	-0.04913992	0.4093077	0.06450476	
5.0398	-0.04914318	0.4089648	0.06452283	
5.04	-0.04914642	0.4086219	0.06454092	
5.0402	-0.04914967	0.4082791	0.06455906	
5.0404	-0.04915291	0.4079365	0.06457722	
5.0406	-0.04915615	0.407594	0.06459542	
5.0408	-0.04915938	0.4072516	0.06461366	
5.041	-0.04916261	0.4069094	0.06463192	
5.0412	-0.04916584	0.4065673	0.06465022	
5.0414	-0.04916906	0.4062253	0.06466855	
5.0416	-0.04917228	0.4058835	0.06468692	
5.0418	-0.0491755	0.4055417	0.06470531	
5.042	-0.04917871	0.4052002	0.06472374	
5.0422	-0.04918192	0.4048587	0.06474221	
5.0424	-0.04918512	0.4045174	0.06476071	
5.0426	-0.04918832	0.4041763	0.06477924	
5.0428	-0.04919152	0.4038353	0.0647978	
5.043	-0.04919471	0.4034944	0.0648164	
5.0432	-0.0491979	0.4031537	0.06483503	
5.0434	-0.04920109	0.4028131	0.0648537	
5.0436	-0.04920428	0.4024726	0.0648724	
5.0438	-0.04920745	0.4021324	0.06489113	
5.044	-0.04921062	0.4017922	0.0649099	
5.0442	-0.0492138	0.4014522	0.0649287	
5.0444	-0.04921696	0.4011123	0.06494752	
5.0446	-0.04922013	0.4007726	0.06496639	
5.0448	-0.04922329	0.4004331	0.06498528	
5.045	-0.04922644	0.4000937	0.06500421	
5.0452	-0.0492296	0.3997545	0.06502318	
5.0454	-0.04923275	0.3994154	0.06504218	
5.0456	-0.04923589	0.3990764	0.0650612	
5.0458	-0.04923903	0.3987377	0.06508027	
5.046	-0.04924217	0.3983991	0.06509937	
5.0462	-0.04924531	0.3980606	0.0651185	
5.0464	-0.04924843	0.3977223	0.06513766	
5.0466	-0.04925156	0.3973842	0.06515686	
