Time	10FF	11FF	12FF	13FF	14FF	15FF	16FF	17FF	18FF	19FF	1FF	20FF	21FF	22FF	23FF	24FF	25FF	2FF	3FF	4FF	5FF	6FF	7FF	8FF	9FF	
0.06	0.04853731	0.0483233	0.0483354	0.04845759	0.04857221	0.04889021	0.0486704	0.04846692	0.04876796	0.04842546	0.04835723	0.04851473	0.0482631	0.04864708	0.04823409	0.04801252	0.0481195	0.04824533	0.04886624	0.04810247	0.04830115	0.04883692	0.04811278	0.04842803	0.04810614	
0.062	0.04902117	0.04873002	0.04874196	0.0488961	0.04893353	0.04932716	0.04897889	0.04895286	0.04919754	0.04892119	0.04868157	0.04889418	0.04875194	0.04913501	0.04868153	0.04844304	0.04857887	0.04857648	0.04922269	0.04846727	0.04874019	0.0492125	0.04850527	0.04891833	0.04842881	
0.064	0.04941198	0.04900496	0.04904166	0.04921343	0.04934159	0.04975715	0.04937387	0.04924922	0.04957078	0.04928624	0.0489839	0.04920081	0.04918246	0.04952504	0.04908364	0.04883796	0.04887005	0.04892867	0.0496356	0.04880692	0.04906661	0.04958213	0.04896157	0.0493401	0.04887741	
0.066	0.04973844	0.04926082	0.04944319	0.04955731	0.04966297	0.05009957	0.04977861	0.04967559	0.04986915	0.04954737	0.04926338	0.04945913	0.049596	0.04990496	0.04948966	0.04922017	0.0491451	0.04928083	0.04990183	0.04921923	0.04935166	0.04997837	0.04936294	0.04961579	0.04925142	
0.068	0.05000047	0.04952186	0.04984472	0.04981889	0.04994437	0.05033006	0.05003757	0.05007349	0.05021578	0.04984001	0.04948329	0.04984684	0.04996767	0.05027776	0.04989271	0.04954013	0.04953866	0.04963213	0.05018857	0.04959827	0.04973651	0.05021954	0.04972492	0.04988871	0.0496656	
0.07	0.05031587	0.04981269	0.05017224	0.05014268	0.05016361	0.05067027	0.05036812	0.05042696	0.05040894	0.05011863	0.04976347	0.0500664	0.05028918	0.05046441	0.050143	0.04986029	0.04984228	0.04995408	0.0505066	0.04992881	0.0501014	0.05055386	0.05001909	0.05010195	0.04988509	
0.072	0.05066274	0.05000905	0.05034479	0.05049806	0.05037436	0.05089788	0.05062273	0.05063824	0.05072784	0.05034807	0.05012364	0.05043421	0.05059093	0.05076022	0.05042832	0.05003727	0.05002281	0.05031152	0.05068174	0.05025964	0.05029141	0.05077908	0.05030932	0.05035532	0.05017964	
0.074	0.05094967	0.05025484	0.0505269	0.05072862	0.05069208	0.05115261	0.05078182	0.05086421	0.05090294	0.05059296	0.05036485	0.05064982	0.05080179	0.05097328	0.05069291	0.05037871	0.05028918	0.05047899	0.0508294	0.0504332	0.05056292	0.051107	0.05046891	0.0506251	0.0503293	
0.07600001	0.05121726	0.05047274	0.05066714	0.05105559	0.05095579	0.05146647	0.05099827	0.0511255	0.05112169	0.0507843	0.05066439	0.05092456	0.05104665	0.05119644	0.0509242	0.05063997	0.05061605	0.05066068	0.05100935	0.05057096	0.05083236	0.05129461	0.05078664	0.05085282	0.0505305	
0.078	0.05145213	0.05062744	0.0509631	0.051344	0.05117162	0.05164681	0.05124883	0.05135542	0.0513228	0.05101204	0.05087588	0.05118508	0.05134406	0.05133127	0.0511029	0.05079134	0.0508059	0.05081129	0.05112283	0.05069679	0.05109191	0.05153944	0.05105906	0.05103625	0.05083703	
